,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
0,Love_Life_Sydney,2023-08-01,PostCovid,3,4.0,"[[food, decent, 1], [room, good, 0], [room, 'less good', 0], [room, compact, 0], [need, basic, 3], [bathroom, small, 0], [room, select, 0], [room, small, 0], [space, safe, 0]]",1.0,7.0,1.0,0.16666666666666666,0.13809523809523808,0.0,,,,
1,Bilal S,2023-08-01,PostCovid,3,5.0,"[[hotel, good, 1], [place, great, 1], [place, great, 1], [room, great, 0], [room, small, 0], [hotel, good, 1]]",4.0,2.0,,0.75,0.275,,,,,
2,Anthony Fernando,2022-10-01,PostCovid,3,5.0,"[[place, good, 1], [place, good, 1]]",2.0,,,0.7,,,,,,
3,Mjkc204,2023-08-01,PostCovid,3,5.0,"[[staff, great, 1], [door, next, 0]]",1.0,1.0,,0.8,0.0,,,,,
4,Aung Nanda,2022-08-01,PostCovid,3,4.0,"[[door, next, 0], [time, long, 2]]",,1.0,,,0.0,,1.0,-0.05,,
5,David G,2023-06-01,PostCovid,3,5.0,[],,,,,,,,,,
6,Cruiser27845973656,2023-06-01,PostCovid,3,5.0,"[[staff, clean, 1], [staff, clean, 1]]",2.0,,,0.3666666666666667,,,,,,
7,roaming_kiwi58,2023-03-01,PostCovid,3,4.0,"[[hotel, good, 1], [hotel, singapor, 1], [room, clean, 0]]",2.0,1.0,,0.35,0.3666666666666667,,,,,
8,DP_,2022-11-01,PostCovid,3,5.0,"[[stay, special, 1], [stay, third, 1], [place, special, 1], [day, first, 2], [place, anniversari, 1]]",4.0,,,0.17857142857142858,,,1.0,0.25,,
9,Radhika A,2023-06-01,PostCovid,3,4.0,"[[door, next, 0], [door, outsid, 0], [door, 'right outsid', 0]]",,3.0,,,0.09523809523809523,,,,,
10,Keith L,2023-06-01,PostCovid,3,4.0,"[[room, hassl, 0]]",,1.0,,,0.0,,,,,
11,SimonTMK,2023-06-01,PostCovid,3,4.0,"[[friendli, great, 1]]",1.0,,,0.8,,,,,,
12,Karen R,2023-05-01,PostCovid,3,5.0,"[[breakfast, great, 4]]",,,,,,,,,1.0,0.8
13,Eko,2023-06-01,PostCovid,3,3.0,"[[room, dark, 0], [hotel, everi, 1], [door, someth, 0], [staff, 'consid locat', 1], [staff, best, 1]]",3.0,2.0,,0.3333333333333333,-0.075,,,,,
14,michael o,2023-04-01,PostCovid,3,5.0,[],,,,,,,,,,
15,victor,2023-04-01,PostCovid,3,5.0,"[[hotel, good, 1], [staff, good, 1], [breakfast, good, 4], [food, western, 1]]",3.0,,,0.4666666666666666,,,,,1.0,0.7
