,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
0,r_salleh12,2023-09-01,PostCovid,4,,[],,,,,,,,,,
1,Sim N,2023-04-01,PostCovid,4,,[],,,,,,,,,,
2,MrsP,2023-09-01,PostCovid,4,3.0,"[[place, right, 0], [room, nice, 2], [check, long, 4]]",1.0,1.0,1.0,0.2857142857142857,0.6,-0.05,,,,
3,suzanahakim606,2023-09-01,PostCovid,4,,[],,,,,,,,,,
4,whughe638814,2023-09-01,PostCovid,4,,[],,,,,,,,,,
5,mtazumi,2023-09-01,PostCovid,4,,"[[hotel, nice, 0], [airport, close, 3], [airport, singapor, 3], [staff, singapor, 1]]",1.0,,,0.6,,,2.0,1.0,0.0,0.0
6,rs6ph99144huq18060,2023-09-01,PostCovid,4,,"[[breakfast, singapor, 3], [staff, rheir, 1]]",,,,,,,1.0,1.0,0.0,0.0
7,Manfred-Klein-2023,2023-09-01,PostCovid,4,,"[[howev, total, 2]]",,1.0,,,0.0,,,,,
8,DSpalton,2023-09-01,PostCovid,4,,"[[room, safe, 2], [day, hot, 4], [staff, 'also anniversari', 1]]",,1.0,1.0,,0.5,0.25,,1.0,,0.0
9,KarenSapioSexual2576,2023-09-01,PostCovid,4,,"[[day, earlier, 4]]",,,1.0,,,0.0,,,,
10,isaacjosiah,2023-09-01,PostCovid,4,,"[[room, clean, 2]]",,1.0,,,0.3666666666666667,,,,,
11,dsftn,2023-09-01,PostCovid,4,,"[[room, pro, 2], [room, good, 2], [time, difficult, 1]]",,2.0,,,0.35,,,1.0,,-0.5
12,lilysholiday,2023-09-01,PostCovid,4,2.0,"[[bed, 'amaz thing', 3], [bed, ant, 3], [room, clean, 2]]",,1.0,,,0.3666666666666667,,2.0,,0.0,
13,Li Cheng S,2023-09-01,PostCovid,4,,[],,,,,,,,,,
14,jttcl,2023-09-01,PostCovid,4,,"[[day, good, 4]]",,,1.0,,,0.7,,,,
