travel_type,rating,valid_rating,label,combined_review,date,covid,is_local
business,5.0,True,Positive,"Always A Great Experience It was heartwarming to return to Grand Mercure Roxy after enduring the challenges of the Covid era. While some of the beloved amenities are yet to make a comeback due to past restrictions, the essence of what makes this place special remains intact. The staff continue to exude warmth and hospitality, upholding the hotel's high standards even amidst staffing challenges. Eagerly anticipating my next stay here!",2023-09-01,PostCovid,0
couple,3.0,True,Neutral,"Australian Travellers As a  member of Accor we chose this hotel for our one day stay in Singapore approximately 2 years ago. The hotel is a short taxi ride from the airport with many small eateries, shops and fruit vendors across the road. The pool area is a relaxing environment. Room was very comfortable with a comfortable bed, clean with good linen and nicely appointed bathroom with amenities. We had dinner in the hotel restaurant and were promptly seated. When our meal arrived it was brought by a Robot and served by staff. Different and nice! Meal was very good too! Would recommend if you like a quiet environment close to the airport.",2022-12-01,PostCovid,0
couple,1.0,True,Negative,Do not stay on Level 6. Mold. Mold stench. We stayed on level 6. It should be condemned. Guy in foyer wiping down condensation non stop. De-hummidifiers everywhere. It reeks of mold on level 6. Would never stay here again. Luckily we were only here 1 night. Then thankfully we went to Momentus in Alexandra. ,2023-09-01,PostCovid,0
family,2.0,True,Negative,"A once great hotel but no more I’ve stayed at the Roxy since 2012, mainly for work but any family trips going through Singapore and I’ve always booked here.  Over the course of 200 + nights the one major thing the Roxy can offer guests is the staff and location. The staff have always been excellent and remain so, the location (whilst a little out of the way) has everything you need. From 328 Katong Laksa to Sin Hoi Sai Eating house and multiple hawker stalls and malls within a 5 minute walk, you don’t need to go far.  Unfortunately though that’s where it stops now! The Roxy was a dated hotel when I first arrived 11 years ago, since then the rooms have had little to no attention spent on them. Because of this the rooms are not great and if you’re going an Executive room just save your money. The rest of the",2023-09-01,PostCovid,0
business,2.0,True,Negative,Felt like a budget hotel Post covid this was my first stay at Roxy. Prior to this I have been visiting since 2005. No water bottles at the hotel instead we are required to use the dispenser outside the room. The usual breakfast area was shut. So it was shifted to 4th floor and was very crowded and options were very limited. My room 406. Getting out of shower is dangerous as one might slip and fall due to extension of sliding door. Amenities have reduced. Common Body wash dispensers were provided. The body wash had exhausted and had informed the front desk but no one replenished it. AC was set to 22 deg it was very cold. The AC buttons weren’t functioning properly so had to switch it off but after a while it was very hot. Had complained at the front desk and next day it was set for 23 to 24 deg but it,2023-08-01,PostCovid,0
solo,2.0,True,Negative,"Very expensive and rubbish service I stayed here for one night. The cost, even though I booked 5 months in advance was extremely expensive, 206 SGD. I remember when I booked thinking it was expensive but I thought why not for a bit of luxury!  First issue is the airport shuttle has stopped, price of taxi  25 dollars there and 16 back! For that you might as well stay at the Crowne Plaza and walk to the airport!   I arrived at midnight and checked in. I was upgraded to the 17th floor, which is the Executive Floor. All good I thought. I was then given my free drink voucher. I asked where the bar was and it was closed! Nowhere at all to spend my free drink voucher. No free wine in room to recompense that either!  Next morning I got up and decided I’d have my breakfast in the Executive Lounge. I arrived there to find",2023-08-01,PostCovid,0
family,4.0,True,Positive,"Great Convenient Location Just returned from a 2 night stay on route to Phuket. The rooms are a little dated but it was clean and comfy. We had an additional bed for my son and there was plenty of room. Nice swimming pool. We didn't eat in the hotel. There is a shopping mall, restaurants and Hawkers market opposite the hotel  so great to pop over for cheap food. Taxis are reasonably priced and all metered you don't need to tip anywhere in Singapore. We used taxi to visit the Gardens at the Bay (amazing)and Singapore zoo night safari. We went to the Jumbo Seafood restaurant one night this was very disappointing and very expensive. Bought tickets on the hop on bus (as the Ducktour was sold out). These are expensive but quite good especially if your there for a couple of days. ",2023-08-01,PostCovid,0
business,5.0,True,Positive,"Amazing experience and extraordinary housekeeping service by GEORGE I stayed too many times in this hotel as i come for business, and really i like how the staff take care of all the details.  And the most outstanding experience at this hotel was the amazing housekeeping service provided by GEORGE. You can see the difference when he cleaned the room as he did his job perfectly ❤️ George is a nice and always smiling person and I would like to thank him for all the efforts he is making, so once i open the door i feel happy 😍 George you are the best !",2023-08-01,PostCovid,0
family,5.0,True,Positive,"Great transit hotel  Nice hotel, a little dated. Rooms were very clean and quite large. External windows need to be cleaned. Such a shame when we opened the curtains thinking we were going to have a nice view, only to be met by dirt. Couldn’t see out the window. Apart from that, would recommend for a short stay. ",2023-08-01,PostCovid,0
couple,1.0,True,Negative,"Mr Bell We stayed only one night. The hotel corridors stink of mould, the breakfast was simply a rip off. It would be the worst breakfast offering Ive seem at any hotel. What ever you do, if you make the unfortunate decision to stay here,  go elsewhere for breakfast.",2023-08-01,PostCovid,0
