travel_type,rating,valid_rating,label,combined_review,date,covid,is_local
family,4.0,True,Positive,"City center, well kept rooms, quiet and friendly. Helped us with a left behind item with complete ownership Stayed 7 nights with family, we had booked two rooms, and they were allocated on the same floor as requested.

The rooms were well equipped though small in size, however, we were outside throughout most of the day and it didn't make much of a difference.

There's a vending machine on the ground floor and a 711 close by, Clarke Quay restaurants is close by and walkable. The breakfast spread is decent enough, we didn't get tired during our stay.

Cabs are easy to hail, you can get food delivered from apps and the hotel helps with cutlery.

Checkin and check-out were smooth, our rooms were ready when we came in for a late checkin.

One of our rooms were road-facing yet it was very quiet inside.

Overall it was a great experience with the staff...

And importantly, we had left behind a pair of shoes which they helped locate and they coordinated well with me to it delivered to a local contact. They packed the shoes securely after the required verifications from me as well as the delivery person (a local delivery app).

Will I come back or recommend? Yes.",2023-05-01,PostCovid,0
solo,,False,,"Good value for money Really good value for money. The rooms are mosern and clean but on the small side which was perfectly fine for a weekend trip. The location is a 7min walk from the MRT (Clarke Quay or For Canning). Also good starting point for a morning walk along the river, so even though it isn't right in the middle of the action it is a good place to explore from. They have a storage room for when your flight back goes late at night and offererd to use the gym shower after check out if I needed it. The gym itself was rather small and open air type so the air was pretty warm and thick, not great for cardio. The pool and roof top terrace were great and the breakfast, whilst not luxurious, it was well presented and enough to get you started (scramled eggs, bacon, toast, fruit, salad, cakes, asian choices). Really liked that you could sit outside.",2023-06-01,PostCovid,0
couple,4.0,True,Positive,"Good for short stay In many ways better than expected. Very nice roof garden and pool, very good breakfast buffet choices. Good location - just 5 mins to the Quay and restaurants and easy walk between two MRTs on different lines. Small room, bit of a pinch for a couple but all modern and well serviced. As with most hotels, even better if there was a dressing table and seat with a mirror and good light and a power point in the room.",2023-09-01,PostCovid,0
couple,3.0,True,Neutral,"Just okay, crowded experience Good location, near the River and restaurant area. IMO more suited to younger business people, than retired couples.  Nice rooftop pool, smallish rooms, breakfast area can become very crowded and seating is a problem during peak time.  Staff whilst accommodating not overly engaging or friendly.  For older retirees probably would look elsewhere",2023-09-01,PostCovid,0
couple,5.0,True,Positive,"Disappointed pool closed Location close to Clarke Quay. Easy walking. We have stayed here before and loved the roof top pool which is one of the reasons we booked it. We were extremely disappointed to find it was closed for maintenance and there was no prior notice. We were given an option of another pool 10 mins transport away but this was very inconvenient. As we had a later flight and checkout was 12:00 to go to another location to swim,  to fill in time was not an option. Very disappointed",2023-09-01,PostCovid,0
couple,4.0,True,Positive,"Reliable and convenient stop over hotel  We have stayed here before, and this visit for 2 nights on route from Australia to UK, did not disappoint.  Very clean and comfortable, and we love the rooftop pool area to relax around.  Close to the shops and cafes in Clarke Quay - we love Astons @ the Central for a very reasonable meal.",2023-06-01,PostCovid,0
solo,5.0,True,Positive,"Best stay in Singspore with great breakfast buffet and meat pies and quiche! The hotel staff are all very friendly, hardworking, welcoming, helpful and still maintains respectful of residents' privacy and busy schedules. I was on a business and leisure stay for a week. Loved it, and would come back again.  This HIE at Clarke Quay has one of the best multicultural and nutritious breakfast buffet that I had enjoyed every morning. I was able to have a Starbucks-like sit down area in the side lobby to chat with my local guests. The meat pies are delicious, from the bakery/coffee place nearby the front desk area.  I ordered *FoodPanda delivery twice, the receptionists were very helpful.  They also helped ordered Zig taxis for me many times.  Great roof top view for city skyline and sunrise, plus an unexpected lusciously green flower garden up there.  High ceiling room with large slanting window made the space comfortable and welcoming. Thanks for being the best of the best HIE that I have stayed in 3 countries! Bravo!",2023-07-01,PostCovid,0
couple,5.0,True,Positive,"Very good hotel Really good hotel , brilliantly placed for Clarke Quay and the MRT . Walking distance to  China Town. Loved it.Would return again in an instant. Good breakfast in  with the price which is most unusual for hotels in Singapore.Highly recommended",2022-09-01,PostCovid,0
family,5.0,True,Positive,Great City Hotel! What a great hotel in a great location! This city  hotel is within walking distance of many great attractions and places to eat and shop. The staff were friendly and efficient on check in and the rooms were comfortable. Breakfast offered a wide choice and with lots of space it never felt busy! Would definitely recommend and will stay again.,2023-08-01,PostCovid,0
family,4.0,True,Positive,"Good Value Hotel near City Centre Staff
The staff were all helpful and friendly.

Location
The hotel is an easy walk to three MRT stations on different lines – Clake Quay, Chinatown and Fort Canning. The first two are largely covered walks – important for both the rain and the sun.
Depending on your length of stay, the MRT Tourist Tickets could be very useful. For a week’s stay I bought two * three days cards which cover all buses and metro – although not the Sentosa Express but that is only SGD4.
It is also close to the river with its restaurants – although, the best ones closest to the hotel (Jumbo and Iguana) were often full and you could not even make a reservation – a pity as they were quite good.

Rooms
I paid extra for a higher floor room expecting some sort of view. All I got was view of the 7th floor of the offices opposite instead of the 5th floor!
The room itself was a standard hotel room and adequately equipped – although the bed was rather too firm for my taste.

Breakfast
The breakfasts were fine – a fair range of dishes. The coffee was very good the fruit juice - direct from the carton – less so!

Pool
The roof top pool was very interesting and a good way to cool off a bit after a hard day out.

Dangers
There is a glass shelf above the ‘fridge with a very sharp corner on which I banged my head two or three times. The shelf needs raising – I am not that tall – or it needs some protection covering the corner.",2023-07-01,PostCovid,0
,4.0,True,Positive,"Great value for money but small rooms. Great location for shopping, dinner and walks. The room rate was cheaper than other similar styles of hotels so do your homework. Whilst the room sizes were very small by comparison to other hotels the other facilities made up for it. Great roof top pool, complimentary breakfast (not a great variety but had hot and cold dishes as well as patisserie), fantastic location for the River, Clark Quay, Orchard Road shopping, China town all in walking distance. Great value for money. Taxi from airport was about Sing$35. We arrived early in the morning and the hotel was at maximum capacity hence we could not check into our room until 1pm. We were able to check our bags, have breakfast as well as use the pool whilst we waited for our room. Be mindful of the time you go for breakfast, or",2023-08-01,PostCovid,0
,1.0,True,Negative,"Wrong choice The hotel has no room service. They don’t even provide a mini body lotion. The room is like a matchbox. At this price, I could have opted for Sheraton.  Moreover, I didn’t even get any IHG rewards for staying there. Regretted my choice and decision to stay in this hotel. Will never repeat.",2023-07-01,PostCovid,0
,5.0,True,Positive,Relaxed and enjoyable stay Very comfortable accommodation and super friendly staff. A very clean and relaxed place to stay for our week in Singapore. Hats off to War at the hotel bar. Thanks for keeping us entertained in the evening. Cheers mate!,2023-07-01,PostCovid,0
,1.0,True,Negative,"Small rooms Size of the room is inversely proportional to the price of the room. Rooms very very small, price is too high for the size of the room. All rooms are of same size, only difference is the floor. If you are lucky, you can get room with road/city view. If you are unlucky then you’ll get room facing other rooms, and you might not open curtains/blinds for privacy leading you to feel claustrophobic. This hotel offers all rooms with compulsory breakfast, whether you like it or not, because there is “NO in room dining” facility in this hotel.  The walk to MRT is about 10 mins, so if it’s raining, then you need to wait for it to stop or take a cab.  If you are travelling as a family with small children, all the best, because you’ll be needing two rooms if you want some space to move",2023-06-01,PostCovid,0
,5.0,True,Positive,"Excellent Value, Service and Location Fantastic stay. Check in was very smooth. Joel let us check in a bit early due to an early flight arrival from the UK. He was extremely helpful during our stay. The rooftop and pool are amazing! Pay a bit extra for a level 5 or above room. The breakfast was great too. Check out at midday is excellent snd luggage storage was very smooth. We arrived back in a taxi after looking around the city on the way to the airport and had our luggage back and loaded within a couple of minutes.  Will stay here again for sure!",2023-07-01,PostCovid,0
,5.0,True,Positive,"Great Team, property and location. We chose Holiday inn express Clark’s Key based on its location and price spending four nights with two rooms.  From start to finish it was a great decision and I can honestly say one of the genuinely friendly and efficient hotel teams we’ve encountered anywhere in the world.  Special mention to Stephanie on reception who was just fantastic and got our rooms ready by 11:00 with no fuss - she is friendly and genuine as were her colleagues.   Breakfast is busy, plentiful and has something for everyone.  The rooftop pool is a welcome retreat from the humidity and was never too busy.  The rooms although small, offer everything you need (opt for an outward facing room) Overall I can’t recommend this hotel highly enough and I’d suggest that some of the more expensive and fancy hotel",2023-07-01,PostCovid,0
,5.0,True,Positive,"Fantastic place to stay Fantastic people, clean and great breakfast only thing I would mention was poor lighting in bathroom- very dark showering and not good to put makeup- would certainly recommend to anyone and stay again ",2023-07-01,PostCovid,0
,5.0,True,Positive,"Super Singapore Stay! This is the most impressive Holiday Inn Express I’ve stayed in anywhere in the world. The rooms, some with views of Marina Bay Sands are a reasonable size, clean and very well air conditioned. The location is also great, being very close to Clarke Quay and a short walk to MTR stations. However, the most impressive feature is the rooftop swimming pool and sun bathing terrace - if only there were a bar on the roof it would be absolutely perfect!",2023-06-01,PostCovid,0
,5.0,True,Positive,"Service at the bar One of the best persons I met here - named War - he served the drink and food bites ! Fabulously interactive, lovely at service, too kind at heart .... for example he even went out of his way to customize a veg dish and made the customer experience feel great ... just so easy going and interactive - so soft talker and polite ... you need more people like WAR to make customer delight a reality",2023-07-01,PostCovid,0
,4.0,True,Positive,"Singapore Holiday Inn Express Nice Holiday Inn Express. Very clean, well maintained with friendly and helpful staff. Located next to the Singapore River close to Fort Canning Park. Walking distance to the business center about 15 minutes, to Merlin 30 minutes. 5 minute walk to plenty of restaurants and entertainment along the river. Although the rooms are “European style”, meaning rather small, they are functional, not used up and clean. Our room to the back was quiet. Nice shower head with plenty of hot water. Bed is is not too soft with great pillows. Fridge, safe, coffee pot, all there. Downstairs with breakfast with a much better selection one could ever get in the US. Quality of the fruits, rice, eggs and croissants have been very good. Although with the number of rooms, the breakfast place can get",2023-07-01,PostCovid,0
,3.0,True,Neutral,Good location but expensive A well located hotel for both the MTR & for walking along the river. Breakfast included in the rate was a plus even though we thought the overall price was expensive. However Singapore is an expensive city generally. A nice rooftop pool & nice area to relax. The rooms are very small - hardly room to move. The bathroom also very small. Probably would not stay again.,2023-06-01,PostCovid,0
,5.0,True,Positive,"Good hotel in Singapore From the location (on Clarke Quay) to the professionalism of the staff, everything was excellent. Although a bit small, the room was well equipped, comfortable and more than enough. I highly recommend this hotel",2023-06-01,PostCovid,0
,5.0,True,Positive,"Great place and made better by the staff! War in particular Lovely hotel in general, but made especially better by the staff. War in the bar team made the visit. Such a lovely guy and very welcoming, especially considering traveling with work. Great ambassador for the place!  Would definitely come back.",2023-06-01,PostCovid,0
,5.0,True,Positive,"Excellent Hotel The Holiday Inn Clarke Quay, is a relatively new and very well maintained hotel. Ideal for business for its incredible value for money. Rooms are just sufficient in size with comfortable beds.   Service and hospitality is amazing. War the barman is simply outstanding. ",2023-06-01,PostCovid,0
,5.0,True,Positive,"A GREAT VALUE HOTEL WITH GREAT COMPLIMANTARY BREAKFAST The Holiday Inn Clarke Quay, is a new hotel, tastefully finished. We found our room a little small, however it was very comfortable with everything we needed. The great thing about the Holiday Inn is the free breakfast, there is something for everyone, including some tasty looking curries, however as a Brit I have yet to experience a breakfast curry. Apart from Breakfast there are only limited meals/snacks available at the hotel. There are a fair number of empty/closed premises close to the hotel, however there are many restaurants and shops within a 10 minute walk. There is a rooftop swimming pool at the hotel and a gym. This was our 2nd visit to this Holiday Inn Express I am sure we shall book in the future ",2023-05-01,PostCovid,0
,5.0,True,Positive,"Good place to stay on business. Good place to stay on business. Gym is 24 hours and breakfast is good. My room was a little run down, some broken fixtures and fitting which is the only thing that let it down. Great rooftop pool.   Had excellent service at the lobby bar by War, he was very friendly and helpful.",2023-06-01,PostCovid,0
,2.0,True,Negative,"What’s exactly is policy for counting stays with IHG member? Lengthy waiting when checking in, no queue management.   I was very surprised when said that stay won’t be counted with IHG reason because booked via online agency. Reception said that this is global IHG policy that have to book directly through hotel. I have stay in other IHG hotel booked through agency but have always be counted for the stays. Experience for trying to stay with IHG to collect the points.",2023-06-01,PostCovid,0
,4.0,True,Positive,"Handy and very friendly business hotel Well situated in Singapore City. Low frills type hotel, rooms small but clean and modern and up to date. Good wifi, adequate workspace , nice bed and small shower/ lavatory . Can’t fault it for well priced basic business accommodation at a great price in the heart of the city. Benjamin on check in could not have been more helpful or efficient and made the whole check in process easy. Do join the IHG Rewards programme before you get there and all wifi and facilities are then part of your room rate",2023-06-01,PostCovid,0
,4.0,True,Positive,Great one nighter. Was there for only a night as we had a 35 hr gap between flights. Very cozy room with a comfortable bed. Toilets were clean and I liked the toothbrush packs. Weird sliding door behind the bathroom sink though that I thought was unnecessary. The room temperature controller was also locked I think cause I could not change the settings. Breakfast buffet was great with a nice selection. The highlight was the friendly staff. Of special note was Grazie who really helped us with advice about Singapore and made our stay much more enjoyable.,2023-06-01,PostCovid,0
,5.0,True,Positive,"Nice Hotel - Grazie is the best Best hotel in Singapore. Nice glamorous hotel. Breakfast was superb. Staff is helpful, Grazie is a gem, very polite,  professional and kind. We will definitely come back because of Grazie. Thank you Grazie. ",2023-06-01,PostCovid,0
business,5.0,True,Positive,"Barman is great 👍 . Very clean, nice staff. I had everything that I need as a guest. Great job 👏 It was a pleasure to there. My frist visit to Singapore and I chose Holiday Inn because I’m IHG member and they offer me free late check out. Staff is great and very young. The barman definitely make an impression on me. He is great ! He is involved with customer like he’s an owner. I really in joy 🤩",2023-06-01,PostCovid,0
couple,2.0,True,Negative,"Study reviews before booking Day 1 experience - location is great but not happy with room size for 2, poor accessibility within room and ensuite, privacy concern with overlooking apartment, poor air conditioning control, uncomfortable bed, crowded breakfast area.",2023-05-01,PostCovid,0
couple,3.0,True,Neutral,"Excellent Location Great location and reasonable price hotel. Within reach of Clarke Quay MRT and Clarke and Boat Quays. Although the rooms are smallish they are very well appointed, fresh and contemporary. Staff were very friendly and helpful. Rooftop pool great for swimming lengths and has a lovely vibe and view. Friday movie night on the rooftop was a lovely touch.",2023-05-01,PostCovid,0
solo,5.0,True,Positive,Lovely Hotel and staff. I was there for 3 nights and was pleased with the hotel.  It's convenient  right next to Clarke Quay.  Nice roof garden with a  pool.Most of all when I first checked in I realize I realized I left one bag in the taxi  and luckily the young receptionists on duty went out of their way to help me get it back.  My heart felt thanks to Phyu and her colleagues  for helping me .  They are a credit to the hotel. I would definitely go stay there again if I am back in Singapore again.,2023-05-01,PostCovid,0
solo,5.0,True,Positive,"3 days in Singapore. Loved the location ,the facilities  and a roof top pool! Staff are very helpful and friendly. I would like to say special thanks to the young receptionist Phyu and her 2 colleagues who went beyond call of duty to sort out a problem as soon as I arrived. Can't thank them enough! Thank you ladies.",2023-05-01,PostCovid,0
