travel_type,rating,valid_rating,label,combined_review,date,covid,is_local
,1.0,True,Negative,"Disappointed stay Came here 'cos of good reviews but now i really wonder how the good reviews came from.  Front desk service charged me for the room upon check in although i repeated shared my app screen that my booking had staff paid when i booked online. Staff then brushed me off saying i can go to my room and can come down again if there's any issues. I had to login to my bank account to proof that i have made payment before staff reverse the additional payment.  Bathroom had ramnants of used materials from previous guest. Bathroom door is not working well. Sink drainage is slow.   Room is not soundproof. I can hear everything from conversations next room, bar music downstairs, knocking, flushing and was aruptly awoken from sleep cos of door slaming.  The rooms and corridors are old and",2023-09-01,PostCovid,1
,3.0,True,Neutral,"Village Hotel, Singapore hotel address is Albert Road, but Albert Road is 2 KM from  Hotel. actually  Hotel is Near Rochor Railway Station and Road name Rochor Canal Road. so that why i were facing lot of problem to search Hotel. every one send me to V Hotel on Albert Road, no one know this Hotel Name. it was very confusing.  Night low light not available. in Furniture only one chair provide. must minimum 2 chairs required. No Problem, staff is good. but at reception no one have information regarding general information. hotel restaurant charge in cash also, but Hotel reception do not help in SGD change.  for address searching problem i was inform to Hotel reception, but they tell in this matter can not any help and can not thought about addition/change easy searchable address.  Hotel name is only",2023-08-01,PostCovid,0
,4.0,True,Positive,"Value for Money Prompt Check In, special mention and thanks to Front Office executive Mr John for providing early check on request  as we were travelling with 3 yrs old kid.Decent  breakfast variety(including Indian cuisine)",2023-09-01,PostCovid,0
,5.0,True,Positive,"Worth the price The hotel is well located and offers great value for money. It comes with a large room, easily 200+ sqfeet and that is significant bigger than most rooms in Singapore hotel. You won't find another hotel with the same price and location. It doesn't come with luxury amenities like swimming pool or spa but room is enough with amenities. ",2023-07-01,PostCovid,0
,4.0,True,Positive,"Value for money, great front of desk staff We had a good stay at Village Hotel. The room decor was charming and size and amenities were good value for the price considering Singapore hotel rates. Service staff were all very helpful, I requested for a change in pillow type which was done immediately and when I requested for late checkout as my boyfriend was not feeling well, John at front of desk very kindly gave us a complimentary 2h grace period! He even remembered and asked how he was doing the next day.   Overall, very friendly and helpful staff. Good value for money. Biggest issue was the WiFi just kept disconnecting and would not work for our room.",2023-08-01,PostCovid,0
,3.0,True,Neutral,It was decent stay. Rooms are big but not as much functional. Bathrooms are clean but are old and need some renovations or repairs. The bathroom was really huge but the basin and counter top was very that we can't even fit our essentials over it.,2023-08-01,PostCovid,0
,4.0,True,Positive,"Comfortable but try to avoid old annex Annex is old and we had to repack and change rooms because of electricity failure in our room. Maintenance could not find problem. Did not like ground floor room with no view. Breakfast variable. Some days mainly Indian, other days more options",2023-08-01,PostCovid,0
,5.0,True,Positive,"Best Hotel to stay and ZAHIDAH and STEVEN  at the hotel were our saviours. Hotel is superb and everything was nice including food. Special applause goes to ZAHIDAH and STEVEN at the reception who helped us immensely when we faced a difficult situation.We dropped our passports and phones in the grab taxi we travelled.  Even the grab customer services didn't help us out , but ZAHIDAH and STEVEN took a great effort to help us find our stuff.   We are forever grateful for their immense support and very pleasant demeanour which was the only relief during a very helpless situation. Finally they talked with the cab driver and we received our stuff. Thanking ZAHIDAH and STEVEN and the entire hotel for everything.",2023-08-01,PostCovid,0
,4.0,True,Positive,"Very good location & helpful staff This hotel is located right opposite Little India so it’s very conveniently located. Little India being at a 5-7 min walking distance makes it easy for food options especially vegetarians. Rochor and Little India MRT stations are both at a short sub-500m walking distance.   Restaurants and bars right outside the hotel provide for good food options too.   Spacious rooms (deluxe), clean, well-kept bathrooms very good room service.  Front desk is courteous, understanding and helpful.   I suppose street-facing rooms will have a better view but may also face some noise from the streets. ",2023-08-01,PostCovid,0
,4.0,True,Positive,"Great staffs I stayed here on August 14, 2023 for one night. When i checked in, i was quite early before the check in time. But a very nice Indian lady at the reception let me have my early check in and my room got upgraded! Thank you so much Minni (if im not wrong for her name, sorry!)  This hotel is super nice.  Staffs are super great. A man named Jamal still remember me even my last stay here was 2015!   ",2023-08-01,PostCovid,0
