travel_type,rating,valid_rating,label,combined_review,date,covid,is_local
,,False,,So affordable The hotel is so affordable with pool and bathtub and there are so many foodies and bars around that hotel.  Just a walking distance to the beach. Staffs was okay and all was good. Probably will come again.,2023-09-01,PostCovid,1
solo,,False,,"Good service  Location is near to airport, quiet surroundings, walking distance to local food store and bus terminal to travel to city area. Hotel is very clean, excellent customer service at front desk especially to Mr Jerome . The manager - Mr Jasvan chin also did his best to accommodate me in a comfortable room. Very happy with their patience and politeness during my stay  Highly recommended.",2023-04-01,PostCovid,0
couple,3.0,True,Neutral,"Privacy issues a concern Our stay at the Village Hotel in Changi was OK.  I will summarise as follows:  Positives:  The room itself had everything we needed in the right place – sockets by the bed, a mirror, a small fridge, hairdryer and plenty of storage space.  A seating area by the window so you can watch the aeroplanes come in if you are so inclined.  Our room had a nice view out to sea but not all rooms have this.   Bed was comfortable.   Good location for the excellent Hawker Centre (generally most stalls close around 8 pm) and the bum boats to Pulau Ubin.  Plenty of buses around if you want to venture further away.  Negatives:  We waited about 20 minutes in the check-in queue, and it’s not surprising as each check-in took ages.  I don’t know what needed to be done that took so long. The check-in",2023-09-01,PostCovid,0
,,False,,"Love ♥️♥️ Deluxe room at level 7 with balcony. Staff were excellent and very polite. Room was very clean and spacious, I had a peaceful and wonderful 4 nights stay just relaxing and lazing around on the bed facing the beautiful sea view . ... in the morning I enjoyed watching the sunrise and in the evening I enjoyed watching the sunset. Definitely will be back again for my next staycation. Thank you 🥰❤️",2023-09-01,PostCovid,1
,,False,,"Village hotel changi Was told we couldn’t have a double room despite that is what we booked. The twin room we reluctantly accepted was unclean, odorous, and dated. TV sound didn’t really work. Wifi only worked for one of us. We thought it was very over priced. We stayed in a different hotel a few weeks prior which was cheaper, nicer and friendlier. Would not recommend. ",2023-09-01,PostCovid,0
,,False,,Nice hotel close to Singapore Changi airport Stayed at the Village Hotel Changi for a quick overnight layover while transiting through Singapore.  Staff were excellent and professional.  We were very pleased with our room - immaculate and relaxing!  The small details matter and Village Hotel Changi did this.  Will definitely return when back in Singapore.,2023-09-01,PostCovid,0
,,False,,late minute cancellation from property and trip.com wasn’t honest with the situation not compensation offered i have bad experiences your albert court branch was close for reasons they didn’t disclose to me and forced me to their changi location which is 1.5 hour away from downtown singapore my breakfasts were not registered and not included anymore rheir staff keep me waiting and keep denying the case and keep asking me to deal with the vender trip.com this is very unfriendly to customer and i have bad memories for singapore as a whole too,2023-09-01,PostCovid,1
business,,False,,"First stay after Corona Before corona there was a lounge and also a shuttle bus to the airport. Both is no longer available. The breakfast room in the morning was totally overfilled. No table was available. However, the location around is still very nice.",2023-09-01,PostCovid,0
family,,False,,"Great location and great hotel Awesome hotel with fantastic facilities, quiet location and very comfy beds.   We stayed here for the formula 1 Grand Prix. We’re apprehensive about the distance from city hall back to the hotel but it is very well served with public transports and in a very safe area.  Rooms always made up and sparkling clean which was lovely after a hot day at the track.  It was also an anniversary trip and the hotel staff left us a lovely gift   Highly recommended. ",2023-09-01,PostCovid,0
,,False,,"Not a bad experience I highly recommend this hotel despite the noise I received from 2AM. There was loud slamming and shouting which lasted till 6AM. Earlier in the day, there was a bud load of overseas tourists. Despite of it I would still recommend this to anyone who likes nature.  ",2023-09-01,PostCovid,1
,,False,,"Don't be deceived by the photos. They stay was so-so, the amenities was so-so, the view was so-so. Besides being close to the ferry terminal and changi village for food, the hotel itself was so-so. Things looked clean in the room, but for example, the bathroom had a smell. It smelled like a public restroom, which can only mean, surfaces were cleaned but not deep cleaned. Pillow cases had stains, floor had spots, no bath mat so the floor in your toilet would always be wet.",2023-09-01,PostCovid,1
,,False,,"affordable and comfortable pros: good price, comfortable and spacious room, near to shuttle bus, near to food center., cons: limited room with bidet spray on bathroom, no room service during my stay so difficult to have late dinner, can't extend the check out time even if we pay extra",2023-09-01,PostCovid,1
,2.0,True,Negative,So much potential but so misleading. It’s such a shame would love to have seen it when it was good. Where do I start? It’s very shabby. Needs a LOT of love. Was a Covid hotel apparently. Does not appear to have been well renovated afterwards. No airport shuttle as advertised. No bar or restaurant or club lounge with cocktails no mini mart all as advertised. Pools are amazing. Best thing about the hotel. There were ants in my bed although the hotel seems clean. No milk in the rooms just powdered milk. Wifi in the rooms is dubious at best very intermittent. In lobby and at pools it is excellent.  It’s just shabby. The walls outside need painting it needs routine maintenance. The glass around the pool is covered in lime scale so you can hardly see out it. It has the potential to be an absolutely top notch hotel just beautiful but it’s just not. It’s sad.  The hawker markets next,2023-09-01,PostCovid,0
,,False,,"Escape from city Went for last minute staycation and the cost are affordable. The beds are comfortable, gyms and swimming pools are good. I enjoy the stroll to beach and also hunting for food nearby. It will be good to have shuttle service to other area/connected to public transport.",2023-09-01,PostCovid,0
,,False,,"Had a good staycation at Changi Village I had a good few days of rest at Village Hotel Changi to recharge. I'm glad that the hotel finally reopened after the Covid period...albeit several of their facilities such as the lounge was still not available. That said, the rooms were cleaned and well-maintained, and the staff especially were very cheerful and helpful",2023-09-01,PostCovid,1
,,False,,Clean room Room was clean and spacious.  Only that one of the single bed creaked when we move on it.   The stopper of the sink got stuck when we use it. Was told not to depress it in the sink to stop water draining.,2023-09-01,PostCovid,1
