,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating,valid_rating,label,cleaned_review,combined_review,date,covid,year,stem_review,lem_review
0,gpark,Disappointed stay,"Came here 'cos of good reviews but now i really wonder how the good reviews came from.  Front desk service charged me for the room upon check in although i repeated shared my app screen that my booking had staff paid when i booked online. Staff then brushed me off saying i can go to my room and can come down again if there's any issues. I had to login to my bank account to proof that i have made payment before staff reverse the additional payment.  Bathroom had ramnants of used materials from previous guest. Bathroom door is not working well. Sink drainage is slow.   Room is not soundproof. I can hear everything from conversations next room, bar music downstairs, knocking, flushing and was aruptly awoken from sleep cos of door slaming.  The rooms and corridors are old and",,Singapore,1.0,,1.0,True,Negative,disappointed stay came cos good reviews really wonder good reviews came front desk service charged room upon check although repeated shared app screen booking staff paid booked online staff brushed saying go room come issues login bank account proof made payment staff reverse additional payment bathroom ramnants used materials previous guest bathroom door working well sink drainage slow room soundproof hear everything conversations next room bar music downstairs knocking flushing aruptly awoken sleep cos door slaming rooms corridors old,"Disappointed stay Came here 'cos of good reviews but now i really wonder how the good reviews came from.  Front desk service charged me for the room upon check in although i repeated shared my app screen that my booking had staff paid when i booked online. Staff then brushed me off saying i can go to my room and can come down again if there's any issues. I had to login to my bank account to proof that i have made payment before staff reverse the additional payment.  Bathroom had ramnants of used materials from previous guest. Bathroom door is not working well. Sink drainage is slow.   Room is not soundproof. I can hear everything from conversations next room, bar music downstairs, knocking, flushing and was aruptly awoken from sleep cos of door slaming.  The rooms and corridors are old and",2023-09-01,PostCovid,2023,disappoint stay came co good review realli wonder good review came front desk servic charg room upon check although repeat share app screen book staff paid book onlin staff brush say go room come issu login bank account proof made payment staff revers addit payment bathroom ramnant use materi previou guest bathroom door work well sink drainag slow room soundproof hear everyth convers next room bar music downstair knock flush aruptli awoken sleep co door slame room corridor old,disappoint stay come cos good review really wonder good review come front desk service charge room upon check although repeat share app screen booking staff pay book online staff brush say go room come issue login bank account proof make payment staff reverse additional payment bathroom ramnant use material previous guest bathroom door work well sink drainage slow room soundproof hear everything conversation next room bar music downstairs knock flush aruptly awoken sleep cos door slam room corridor old
1,Footprints489688,"Village Hotel, Singapore","hotel address is Albert Road, but Albert Road is 2 KM from  Hotel. actually  Hotel is Near Rochor Railway Station and Road name Rochor Canal Road. so that why i were facing lot of problem to search Hotel. every one send me to V Hotel on Albert Road, no one know this Hotel Name. it was very confusing.  Night low light not available. in Furniture only one chair provide. must minimum 2 chairs required. No Problem, staff is good. but at reception no one have information regarding general information. hotel restaurant charge in cash also, but Hotel reception do not help in SGD change.  for address searching problem i was inform to Hotel reception, but they tell in this matter can not any help and can not thought about addition/change easy searchable address.  Hotel name is only",,,1.0,,3.0,True,Neutral,village hotel singapore hotel address albert road albert road km hotel actually hotel near rochor railway station road name rochor canal road facing lot problem search hotel every one send v hotel albert road one know hotel name confusing night low light available furniture one chair provide must minimum chairs required problem staff good reception one information regarding general information hotel restaurant charge cash also hotel reception help sgd change address searching problem inform hotel reception tell matter help thought addition change easy searchable address hotel name,"Village Hotel, Singapore hotel address is Albert Road, but Albert Road is 2 KM from  Hotel. actually  Hotel is Near Rochor Railway Station and Road name Rochor Canal Road. so that why i were facing lot of problem to search Hotel. every one send me to V Hotel on Albert Road, no one know this Hotel Name. it was very confusing.  Night low light not available. in Furniture only one chair provide. must minimum 2 chairs required. No Problem, staff is good. but at reception no one have information regarding general information. hotel restaurant charge in cash also, but Hotel reception do not help in SGD change.  for address searching problem i was inform to Hotel reception, but they tell in this matter can not any help and can not thought about addition/change easy searchable address.  Hotel name is only",2023-08-01,PostCovid,2023,villag hotel singapor hotel address albert road albert road km hotel actual hotel near rochor railway station road name rochor canal road face lot problem search hotel everi one send v hotel albert road one know hotel name confus night low light avail furnitur one chair provid must minimum chair requir problem staff good recept one inform regard gener inform hotel restaur charg cash also hotel recept help sgd chang address search problem inform hotel recept tell matter help thought addit chang easi searchabl address hotel name,village hotel singapore hotel address albert road albert road km hotel actually hotel near rochor railway station road name rochor canal road face lot problem search hotel every one send v hotel albert road one know hotel name confusing night low light available furniture one chair provide must minimum chair require problem staff good reception one information regard general information hotel restaurant charge cash also hotel reception help sgd change address search problem inform hotel reception tell matter help think addition change easy searchable address hotel name
2,Himanshu,Value for Money,"Prompt Check In, special mention and thanks to Front Office executive Mr John for providing early check on request  as we were travelling with 3 yrs old kid.Decent  breakfast variety(including Indian cuisine)",,"Noida, India",1.0,,4.0,True,Positive,value money prompt check special mention thanks front office executive mr john providing early check request travelling yrs old kid decent breakfast variety including indian cuisine,"Value for Money Prompt Check In, special mention and thanks to Front Office executive Mr John for providing early check on request  as we were travelling with 3 yrs old kid.Decent  breakfast variety(including Indian cuisine)",2023-09-01,PostCovid,2023,valu money prompt check special mention thank front offic execut mr john provid earli check request travel yr old kid decent breakfast varieti includ indian cuisin,value money prompt check special mention thank front office executive mr john provide early check request travel yrs old kid decent breakfast variety include indian cuisine
3,Kenny H,Worth the price,"The hotel is well located and offers great value for money. It comes with a large room, easily 200+ sqfeet and that is significant bigger than most rooms in Singapore hotel. You won't find another hotel with the same price and location. It doesn't come with luxury amenities like swimming pool or spa but room is enough with amenities. ",,,1.0,,5.0,True,Positive,worth price hotel well located offers great value money comes large room easily sqfeet significant bigger rooms singapore hotel find another hotel price location come luxury amenities like swimming pool spa room enough amenities,"Worth the price The hotel is well located and offers great value for money. It comes with a large room, easily 200+ sqfeet and that is significant bigger than most rooms in Singapore hotel. You won't find another hotel with the same price and location. It doesn't come with luxury amenities like swimming pool or spa but room is enough with amenities. ",2023-07-01,PostCovid,2023,worth price hotel well locat offer great valu money come larg room easili sqfeet signific bigger room singapor hotel find anoth hotel price locat come luxuri amen like swim pool spa room enough amen,worth price hotel well locate offer great value money come large room easily sqfeet significant big room singapore hotel find another hotel price location come luxury amenity like swimming pool spa room enough amenity
4,Sara Wong T,"Value for money, great front of desk staff","We had a good stay at Village Hotel. The room decor was charming and size and amenities were good value for the price considering Singapore hotel rates. Service staff were all very helpful, I requested for a change in pillow type which was done immediately and when I requested for late checkout as my boyfriend was not feeling well, John at front of desk very kindly gave us a complimentary 2h grace period! He even remembered and asked how he was doing the next day.   Overall, very friendly and helpful staff. Good value for money. Biggest issue was the WiFi just kept disconnecting and would not work for our room.",,"London, Malaysia",7.0,1.0,4.0,True,Positive,value money great front desk staff good stay village hotel room decor charming size amenities good value price considering singapore hotel rates service staff helpful requested change pillow type done immediately requested late checkout boyfriend feeling well john front desk kindly gave us complimentary h grace period even remembered asked next day overall friendly helpful staff good value money biggest issue wifi kept disconnecting would work room,"Value for money, great front of desk staff We had a good stay at Village Hotel. The room decor was charming and size and amenities were good value for the price considering Singapore hotel rates. Service staff were all very helpful, I requested for a change in pillow type which was done immediately and when I requested for late checkout as my boyfriend was not feeling well, John at front of desk very kindly gave us a complimentary 2h grace period! He even remembered and asked how he was doing the next day.   Overall, very friendly and helpful staff. Good value for money. Biggest issue was the WiFi just kept disconnecting and would not work for our room.",2023-08-01,PostCovid,2023,valu money great front desk staff good stay villag hotel room decor charm size amen good valu price consid singapor hotel rate servic staff help request chang pillow type done immedi request late checkout boyfriend feel well john front desk kindli gave us complimentari h grace period even rememb ask next day overal friendli help staff good valu money biggest issu wifi kept disconnect would work room,value money great front desk staff good stay village hotel room decor charming size amenity good value price consider singapore hotel rate service staff helpful request change pillow type do immediately request late checkout boyfriend feel well john front desk kindly give we complimentary h grace period even remember ask next day overall friendly helpful staff good value money big issue wifi keep disconnect would work room
5,Shubham Jain,It was decent stay.,Rooms are big but not as much functional. Bathrooms are clean but are old and need some renovations or repairs. The bathroom was really huge but the basin and counter top was very that we can't even fit our essentials over it.,,"New Delhi, India",1.0,,3.0,True,Neutral,decent stay rooms big much functional bathrooms clean old need renovations repairs bathroom really huge basin counter top even fit essentials,It was decent stay. Rooms are big but not as much functional. Bathrooms are clean but are old and need some renovations or repairs. The bathroom was really huge but the basin and counter top was very that we can't even fit our essentials over it.,2023-08-01,PostCovid,2023,decent stay room big much function bathroom clean old need renov repair bathroom realli huge basin counter top even fit essenti,decent stay room big much functional bathroom clean old need renovation repair bathroom really huge basin counter top even fit essential
6,Peter G,Comfortable but try to avoid old annex,"Annex is old and we had to repack and change rooms because of electricity failure in our room. Maintenance could not find problem. Did not like ground floor room with no view. Breakfast variable. Some days mainly Indian, other days more options",,"Phnom Penh, Cambodia",90.0,77.0,4.0,True,Positive,comfortable try avoid old annex annex old repack change rooms electricity failure room maintenance could find problem like ground floor room view breakfast variable days mainly indian days options,"Comfortable but try to avoid old annex Annex is old and we had to repack and change rooms because of electricity failure in our room. Maintenance could not find problem. Did not like ground floor room with no view. Breakfast variable. Some days mainly Indian, other days more options",2023-08-01,PostCovid,2023,comfort tri avoid old annex annex old repack chang room electr failur room mainten could find problem like ground floor room view breakfast variabl day mainli indian day option,comfortable try avoid old annex annex old repack change room electricity failure room maintenance could find problem like ground floor room view breakfast variable day mainly indian day option
7,Kaushalya,Best Hotel to stay and ZAHIDAH and STEVEN  at the hotel were our saviours.,"Hotel is superb and everything was nice including food. Special applause goes to ZAHIDAH and STEVEN at the reception who helped us immensely when we faced a difficult situation.We dropped our passports and phones in the grab taxi we travelled.  Even the grab customer services didn't help us out , but ZAHIDAH and STEVEN took a great effort to help us find our stuff.   We are forever grateful for their immense support and very pleasant demeanour which was the only relief during a very helpless situation. Finally they talked with the cab driver and we received our stuff. Thanking ZAHIDAH and STEVEN and the entire hotel for everything.",,,2.0,,5.0,True,Positive,best hotel stay zahidah steven hotel saviours hotel superb everything nice including food special applause goes zahidah steven reception helped us immensely faced difficult situation dropped passports phones grab taxi travelled even grab customer services help us zahidah steven took great effort help us find stuff forever grateful immense support pleasant demeanour relief helpless situation finally talked cab driver received stuff thanking zahidah steven entire hotel everything,"Best Hotel to stay and ZAHIDAH and STEVEN  at the hotel were our saviours. Hotel is superb and everything was nice including food. Special applause goes to ZAHIDAH and STEVEN at the reception who helped us immensely when we faced a difficult situation.We dropped our passports and phones in the grab taxi we travelled.  Even the grab customer services didn't help us out , but ZAHIDAH and STEVEN took a great effort to help us find our stuff.   We are forever grateful for their immense support and very pleasant demeanour which was the only relief during a very helpless situation. Finally they talked with the cab driver and we received our stuff. Thanking ZAHIDAH and STEVEN and the entire hotel for everything.",2023-08-01,PostCovid,2023,best hotel stay zahidah steven hotel saviour hotel superb everyth nice includ food special applaus goe zahidah steven recept help us immens face difficult situat drop passport phone grab taxi travel even grab custom servic help us zahidah steven took great effort help us find stuff forev grate immens support pleasant demeanour relief helpless situat final talk cab driver receiv stuff thank zahidah steven entir hotel everyth,good hotel stay zahidah steven hotel saviour hotel superb everything nice include food special applause go zahidah steven reception help we immensely face difficult situation drop passport phone grab taxi travel even grab customer service help us zahidah steven take great effort help we find stuff forever grateful immense support pleasant demeanour relief helpless situation finally talk cab driver receive stuff thank zahidah steven entire hotel everything
8,praveenpillai99,Very good location & helpful staff,"This hotel is located right opposite Little India so it’s very conveniently located. Little India being at a 5-7 min walking distance makes it easy for food options especially vegetarians. Rochor and Little India MRT stations are both at a short sub-500m walking distance.   Restaurants and bars right outside the hotel provide for good food options too.   Spacious rooms (deluxe), clean, well-kept bathrooms very good room service.  Front desk is courteous, understanding and helpful.   I suppose street-facing rooms will have a better view but may also face some noise from the streets. ",,"Mumbai, India",46.0,33.0,4.0,True,Positive,good location helpful staff hotel located right opposite little india conveniently located little india min walking distance makes easy food options especially vegetarians rochor little india mrt stations short sub walking distance restaurants bars right outside hotel provide good food options spacious rooms deluxe clean well kept bathrooms good room service front desk courteous understanding helpful suppose street facing rooms better view may also face noise streets,"Very good location & helpful staff This hotel is located right opposite Little India so it’s very conveniently located. Little India being at a 5-7 min walking distance makes it easy for food options especially vegetarians. Rochor and Little India MRT stations are both at a short sub-500m walking distance.   Restaurants and bars right outside the hotel provide for good food options too.   Spacious rooms (deluxe), clean, well-kept bathrooms very good room service.  Front desk is courteous, understanding and helpful.   I suppose street-facing rooms will have a better view but may also face some noise from the streets. ",2023-08-01,PostCovid,2023,good locat help staff hotel locat right opposit littl india conveni locat littl india min walk distanc make easi food option especi vegetarian rochor littl india mrt station short sub walk distanc restaur bar right outsid hotel provid good food option spaciou room delux clean well kept bathroom good room servic front desk courteou understand help suppos street face room better view may also face nois street,good location helpful staff hotel locate right opposite little india conveniently locate little india min walk distance make easy food option especially vegetarian rochor little india mrt station short sub walk distance restaurant bar right outside hotel provide good food option spacious room deluxe clean well keep bathroom good room service front desk courteous understand helpful suppose street face room well view may also face noise street
9,Purwastiqa,Great staffs,"I stayed here on August 14, 2023 for one night. When i checked in, i was quite early before the check in time. But a very nice Indian lady at the reception let me have my early check in and my room got upgraded! Thank you so much Minni (if im not wrong for her name, sorry!)  This hotel is super nice.  Staffs are super great. A man named Jamal still remember me even my last stay here was 2015!   ",,"Jakarta, Indonesia",5.0,3.0,4.0,True,Positive,great staffs stayed august one night checked quite early check time nice indian lady reception let early check room got upgraded thank much minni im wrong name sorry hotel super nice staffs super great man named jamal still remember even last stay,"Great staffs I stayed here on August 14, 2023 for one night. When i checked in, i was quite early before the check in time. But a very nice Indian lady at the reception let me have my early check in and my room got upgraded! Thank you so much Minni (if im not wrong for her name, sorry!)  This hotel is super nice.  Staffs are super great. A man named Jamal still remember me even my last stay here was 2015!   ",2023-08-01,PostCovid,2023,great staff stay august one night check quit earli check time nice indian ladi recept let earli check room got upgrad thank much minni im wrong name sorri hotel super nice staff super great man name jamal still rememb even last stay,great staff stay august one night check quite early check time nice indian lady reception let early check room get upgrade thank much minni I m wrong name sorry hotel super nice staff super great man name jamal still remember even last stay
