date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: September 2023,Rawat,Thank you Crowne Plaza Changi Airport,"This is one of the best hotel for me. I am one of the long staying guests here, this hotel choosen by my company because of my long time project. To shorten the story, Today is my LAST DAY. It’s a bit sad for me because it feels like my home a bit sad because i will be missed all the kind staff here at the restaurant. Before i left, i went to the restaurant where i always took my breakfast.. I left some a little gifts/some chocolates for the restaurant staff coz they are always giving me a wonderful service, specially Jane who always approach me with a pleasant manner, who always welcome me with a smiling face and ask me every day like “how are you?”, even though sometimes I'm not in the mood but her vibes are funny that’s why my mood change to be same vibes with her 😂 so I bought something special for her because she is very good for me. Thank you for providing true hospitality Jane.

Thank you Crowne Plaza for the respectful and kind staff that you have.

Thank you Ms. Jane I will never forget you. Hope to see you again soon. Best of luck to your career 👍

Thank you for the rest of the team 👏",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: May 2023,woz72,5 STAR EXCELLENCE  AND CONVENIENCE ,"Arriving into Changi in the morning after a 13 hr flight from London , the convenience of this hotels proximity to the airport was greatly appreciated .
A short walk from the terminal and you find yourself in the 5 star luxury of the Crowne Plaza Hotel .
We had a one night stopover in Singapore with a following morning flight back to Perth and decided this hotel was a good option , cutting out taxis etc to and from the city for such a short stay .
We had two interconnecting rooms booked for a family of 4 including 2 x kids in the Jewel wing of the hotel .
As we arrived into Singapore early morning the hotel offered early check in to one of our rooms for an additional fee , this was pre arranged prior to our arrival .
Unlike most other hotels this was not the total cost of another nights stay for the previous night in order to guarantee the early check in , it worked out roughly just under 50% of another nights stay but was well worth it particularly when the hotel gave us access to both rooms immediately on arrival in the morning .
The rooms were very high standard, extremely spacious and truely 5 star offering panoramic views from the bathroom onto the connecting walkway from Changi to the Jewel shopping Mall and one of Changi's runways .
The bathrooms were large and very well furbished , complete with a free standing bath , electric black out blinds and glass touch dimmer switch for additional privacy .
Once again , no expense spared and 100% FIVE STAR .
After a few hours sleep we ventured to the adjoining Jewel Shopping Mall complete with its own full size waterfall .
As you would expect , this is most impressive and another example of all the exciting sights to see in Singapore and remarkable feats of engineering on offer in this City State .
Plenty of dinning options here and of course shopping , there is even waterfall light shows in the evening however I did notice that compared to the malls in downtown Singapore the prices in a lot of the restaurants are significantly higher .

Getting back to the hotel, we spent sometime by the very impressive swimming pool .
Large and very well designed with plenty of sunbathing areas , like everything else about this hotel the layout and quality is most impressive .
We ventured into the mall at night to eat after first visiting the hotels "" BAR 75 "", this is a stylish sports themed bar which offers a very generous happy hour .
In hind sight we wish now we had stayed and dined in the hotel restaurant called Azur which I believe offers something in the margin of around 30% discount to hotel guests .
Overall , this was a great way to end our trip , the hotel offers both convenience and luxury and we would definitely stay here again .",Trip type: Travelled with family,"Perth, Australia",74 ,90 ,,
Date of stay: September 2023,Connector00620128229,Wedding Banquet on 23/9,"We wanted to take a moment to express my heartfelt gratitude for the outstanding service we received during our recent stay at Crowne Plaza for our wedding on 23 September. Specifically, I'd like to commend guest relations Raymond for going the extra mile to give us a pleasant experience!

From the moment we arrived, Raymond welcomed us with his friendly disposition and he truly went the extra mile in satisfying our requirements. As a result, we were not only provided with a spacious and beautiful room but also had a view none like others. Our family was very pleased too.

We were pleasantly surprised by Raymond's thoughtful gesture of sending us a pair of groom and bride bears, tasteful appetizers, wine and a beautiful cake. These really made our wedding day even more memorable and left us feeling really touched.

Throughout our stay, Raymond's dedication to ensuring our stay was pleasant and enjoyable did not go unnoticed, and we are truly grateful for his exceptional service.

Though the wedding had hiccups somehow but we still enjoyed the stay thanks to large part of Raymond's professionalism, hospitality, and commitment to making our experience unforgettable. It's rare to encounter such exceptional service, and we are immensely thankful for the efforts put up by the guest relations team.

Thank you once again for making our special day even more special! :)",Trip type: Travelled as a couple,,1 ,,,4.0
Date of stay: September 2023,Heather,Very convenient Hotel ,"Hotel staff was very accommodating. A big surprise to our room set up by Mr. Raymond ❤️Thank you for your wonderful welcome amenities. Love it so much. Swimming pool was nice for couples.. Breakfast nice atmosphere. All staff are friendly and attentive. Special mention to Ms. Jane, really sweets and helpful with our request. I like her contagious Smile 🙂❤️",Trip type: Travelled as a couple,United States,1 ,,5.0,
Date of stay: September 2023,Pamela,Hotel location good,"The hotel facilities was wonderful,..  the room was clean and relaxing ambiance. Room service was okay served by Indian Lady. Breakfast is okay,, a bit issues for me i’m very disappointed to the man who give as putum ayam? His name start with (M) i think he is a Filipino.I saw him go to table by table then he go to our table to ask if we want. then my friend told him just 1 but this man give 4pcs of it. Not listening. So it’s fine we keep quite then after that this man ask again if we wan to take a picture of our group then may facial expression was a bit irritating and he keep pushing us do to something “i’ll take a picture of you. Etc. “You do oppa oppa,, korean heart korean heart) which is very disappointing to us. Because in the first place you cannot push guest for that. If the guest want’s anything, guest called any staff of the restaurant to their request or questions. I saw some table also feels irritating with this man actions. Very unprofessional.. but all staff service was excellent.. except to him. Kudos to the friendly staff.",Trip type: Travelled with family,Singapore,1 ,,5.0,
Date of stay: September 2023,Stephan Gan,10/10,"It’s a good hotel to stay for 3 days. A bit disappointed to check in counter level 1 with the lady in front but overall experience was good. It was great to use the the facilities especially the swimming pool. The view is very nice because of the plane runway ✈️ 👏 restaurant is ok, especially BREAKFAST was very good… a lot of food variety… excellent service as well… exceptional service by Janey or Jane the gorgeous lady in the morning… very attentive to guest request with high responsiveness. Kudos to you for your pleasing personality🫡 thank you for showing the true hospitality.. overall experience was great. Come back again next time..",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: August 2023,BelC0001,"A beautiful hotel, excellent facilities and location","Though we stayed only one night, this was a wonderful hotel: modern facilities, attentive staff, located close to the airport terminals yet so solidly built that outside noise didn't enter the building or pool area.
The bathroom is generously sized, with plenty of towels.",Trip type: Travelled with friends,"Sydney, Australia",612 ,131 ,,5.0
Date of stay: September 2023,Mesheer H,Pleasant Trip,"the hotel is really fantastic. It contains many facilities and Shopping, Restaurants, Supermarket, etc are very close to the hotel.
The breakfast buffet is simply huge
The staff are also friendly especially a guy names Ekrem. he was always ready for help and gave valuable advises.

Remark. the hotel is not smoker friendly as no rooms for them available",Trip type: Travelled on business,,3 ,,5.0,
Date of stay: September 2023,Angharad R,Memorable experience,"The most beautiful hotel, in a great location in changi airport, friendly staff. They made our stay extra special with a surprise cake & decorations in the room for our birthdays. They always go above & beyond for there customers i love this hotel & the service",Trip type: Travelled as a couple,,2 ,,5.0,
Date of stay: September 2023,Alfey2017,Disappointing,"Disappointed, A bit dated, room could with a refresh but very clean and comfortable.

Bar wasn’t open so had to sit in the restaurant for a drink ambiance not great so didn’t eat there went elsewhere.
Work gong on so may explain why bar wasn’t open .
Staff very helpful and friendly",Trip type: Travelled solo,"County Cork, Ireland",75 ,41 ,4.0,
Date of stay: September 2023,Mobile28751549924,Great staff especially Raymond!!!!,"Coming back to this hotel feels like home especially being attended by your great staff at reception, breakfast and especially Raymond! Thank you very much for the nice cake in our room and remembering our anniversary!!!!! As usual you made our stay once again great and comfortable!!!",,,2 ,,5.0,
Date of stay: September 2023,Hanesh,10/10 Highly recommended to anyone!,"I just realized i actually stay to an Airport Hotel. I have to say that i really really like this hotel. The rooms are spacious and clean. We really enjoyed it. All the staff from reception check in counter, to breakfast all exceptional. When i take my breakfast in the restaurant, i saw a young lady with a contagious smile and very welcoming hostess in the morning. Then after awhile i saw her again with different uniform then she go to my table and ask me if i want to try the Kaya Toast for pass around.. i told her earlier you’re the receptionist right then now you do another job… then she keep smiling to me and replying “yes sir, this is also part of my job with a smile…so i keep thinking for kaya toast because I’m full already 🙂 then this lady say “you can try this sir, i",,,1 ,,5.0,
Date of stay: September 2023,Sam,Convenient airport hotel,"Rooms are roomy and clean with lots of water provided.  Nice pool.  Starting to show its age a bit, but still a very comfortable stay.  Can't beat the convenience for an overnight layover.  Some renovations to lobby currently ongoing.",,,70 ,91 ,5.0,
Date of stay: September 2023,Kai,"Amazing and clean hotel, highly recommended to anyone who loves the airport!",Mr Raymond was amazing and super friendly and he helped me out a lot. We liaised through the email and he even graciously offered to help me setup the room as I had limited time to do so. He made sure the birthday surprise went smoothly and well and we're really thankful for him. The room was really clean and the view of the runway was amazing. The view from the pool was great as well. It's also a 5 minute walk from Jewel and there's a lot of restaurants and shops to visit.   Its a great experience overall and we had a good time. Thank you Crowne Plaza and Mr Raymond for such a fun experience!,,Singapore,1 ,,,5.0
Date of stay: September 2023,Dreamer27850571605,One of the best stay ever! 10/10!,"We got a free night stay from a lucky draw and I gotta say it’s one of the best staycations I ever had. Beautiful and huge room with all amenities provided. Top notch service provided by the staff here as well, the service by Raymond was excellent! He provided personalised service and we are very grateful. Shout out to Mr Thomson as well for going out of his ways to fulfill our request. 10/10 experience for sure, highly recommended!",,,1 ,,5.0,
