date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: September 2023,Wander38368066856,The best service I have ever experienced,"Forgot my phone in the taxi upon arrival. Shawati and Daryl made sure I had it back within 25 minutes after check-in. They were constantly calling to make sure my trip didn't get off to a bad start. What a service!!! In addition, it is a very nice hotel and very friendly staff",Trip type: Travelled with friends,,1 ,,5.0,
Date of stay: September 2023,Relax20093101942,Nice stay,"I had a pleasant 4 days 3 nights stay here. Upon checking in, I was checked in by Front desk staffs Natalie & Debbie. It was a smooth & quick process which was great! They were friendly too & helped me when I was not familiar of the area here.

Upon checking in, the room was clean & room cleaning was done daily by Housekeeping staff Riza. Amenities were topped up in my room automatically without mentioning to the staffs which is really nice.

Lastly during check-out, it was quick as you could place your key cards in the Express check-out box. Front desk staffs Daryl & Aiman were helpful with my requests when I had some enquiries.

The location is very centralized & train stations are closed by too! It was a relaxing trip here to Hotel G!",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: September 2023,Ann,Good experience in Hotel G ,"Hotel location is very convenient to travel around the city area. Train station is just 3mins walk away. Great shout out to front desk staff Debbie, Daryl, Aiman and Natalie! Always smiley and attentive to our request. Housekeeper Riza also ensure our rooms are comfy when we return at night. Great hospitality and make you feel like home!",Trip type: Travelled with family,,2 ,,5.0,
Date of stay: September 2023,Donna l,Superb location of location & great service from the hotel staff,Hotel location are few steps to the bus stop and Bencoolen Mrt station Courteous  and very helpful staffs. Requests are met in quickest way possible . Staff Named LAM  made sure our room is clean. And in pristine condition . 5star service 🙌,Trip type: Travelled with friends,,1 ,,5.0,
Date of stay: September 2023,Phongsuda S,Nice staff and quick solve prpblem,"After Check-in I found my room it same have the leaking water from toilet. I worried for make me fall and accidents happen. So, i request them change the room. Before that he ask maintenance staff for check and confirms it.
Lastly they change the room and upgrade to bigger room with complimentary red wine.",Trip type: Travelled on business,"Bangkok, Thailand",3 ,,5.0,
Date of stay: September 2023,Vicente F,"Awesome hotel, better staff!!","Awesome hotel and better staff! Very conveniently located just about a block away from multiple subway stations.

Special Thanks to Khin in housekeeping for keeping everything in order for me!

A BIG Shoutout to Sharan and Debbie for their excellent customer service.

Lastly, a big THANK YOU AND AWESOME JOB, to Daryl who took care of all of my needs when arriving early in the morning after a 33 hour trip to make it to Singapore. Daryl is the perfect example of how customers are always #1 while not losing sight that the hotel and its guests’ experience are the most important part of his job.

All in all, a bit small rooms but the staff makes it back two fold!

I will definitely stay at Hotel G next time I’m in Singapore.",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: September 2023,Megan J,Good location and very clean,"Nice and clean, very comfy beds and great shower. Super close to MRT and Bugis street shopping. The hotel itself did not provide good cheap food options though, so you will need to head out to eat. I also feel bad for the drivers needing to drop people off up that hectic entry. Overall I would recommend this hotel",Trip type: Travelled with friends,"Roleystone, Australia",4 ,5 ,4.0,
Date of stay: September 2023,Roam02634878494,Hotel G,"Nice hotel. Excellent staff especially Mr. Lam was super nice. Rooms are indeed relatively small, including bathroom but worth the price. Breakfast was also good. The best part is the location. You can easily walk to downtown from the hotel. Takes 25-30 min walk. Subway is 5 min. walking from the hotel.",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: September 2023,Jack H,"‘G’reat hotel in a good location, perfect for a couple of nights","The room had everything you need, comfy bed, good WiFi connection and room to store your items. The rooms are perfectly clean and the staff very friendly and helpful even making genuine conversation, especially Lam (housekeeping team).
Located only a couple of minutes walk the MRT stations it was really easy to get around. I did t use any of the in-house restaurants or breakfast as there are so many good places to try nearby/across Singapore.",Trip type: Travelled on business,"Newcastle upon Tyne, United Kingdom",5 ,1 ,5.0,
Date of stay: September 2023,Sze M,"Great Stay, Clean and convenient","Room looks small but everything is enough. Amenities is sufficient and smell good. No musty smell no ant no insect is really important!
Water pressure is good and no restrict on hot water. There is no shower curtain or door so the floor and toilet bowl a bit wet after shower. But it will dry overnight, not a big question.
Sound insulation is acceptable, can’t hear noise at night. But I feel like the music playing in corridor is annoying in the morning and also can here sound of housekeeping making room upstair or neighbours.
Also the location is good, it nears two mrt stations ,bus station on the opposite side and can walk to bugis around 10 minutes.
There has a small centre where included famous ya kun kaya toast and dessert.
適合單人/情侶，房間細但用品齊，水壓好夠而且沒有限熱水
地點好，附近有兩個地鐵站和對面就有巴士站，也有24小時的 7-11，樓下有三家餐廳都通宵營業，不用怕沒食的
地理位置靠近大部分景點，去哪都方便
但不會很吵 聽不到沒有酒吧/汽車噪音",Trip type: Travelled solo,,1 ,,,5.0
Date of stay: September 2023,Dream29030592154,Amazing stay! Housekeeper Mr. Lam made our experience a 10/10!,"We had a great stay in Hotel G and it was very clean and great location. On top of that the service was amazing. Our Housekeeper Mr. Lam was very friendly, helpful and nice. He gave us a beyond service. He gave us a room service right away when we requested. He communicated to us so friendly with warm heart. Thank you very much for your great service, Mr. Lam.",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: September 2023,Connector07575906730,Nice experience,"Thanks for my housekeeping RAS to take good care of my room everyday for my 18 days trip. I really appreciate that. Nice breakfast, and conveniently located. The room is clean, quiet. The air conditioning is nice",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: September 2023,Chen-Guang L,I highly commend Miao Jing for her warm service,"I'm happy here. I highly commend Miao Jing for her warm service. First of all, the hotel is beautiful and I enjoy it very much. Then, the bed is so big and soft that I don't want to get up every morning. It's great here. If I ever come to this country again, I want to live here again.",Trip type: Travelled solo,,1 ,,,5.0
Date of stay: September 2023,Companion64634074480,Impressive commitment to service,Small but tastefully furnished. Well located.  Duty manager was highly attentive to a minor irregularity I encountered in the room and was fast to make good on the issue.  Impressive commitment to deliver on a high level of service.   👍,Trip type: Travelled as a couple,,1 ,,,5.0
Date of stay: September 2023,SamRobertshaw,Good value hotel with a nice location,"Very efficient, comfortable and fairly priced hotel in a great location in Singapore.

The rooms are not the biggest but was especially fine for me travelling solo and only with a very small bag.

The few staff I met were all very helpful and the location is definitely a big plus. Easy walking distance from shopping areas and plenty of restaurants or bars in the immediate vicinitiy.",Trip type: Travelled solo,"York, United Kingdom",141 ,196 ,5.0,
Date of stay: September 2023,Roman,Housekeeping was great,"Hotel G is good located. It is close to the metro station Bencoolen. Breakfast could be better. Hotel staff is really friendly, especially Thi Thi our housekeeper was really nice! She made a great job!",Trip type: Travelled as a couple,"Bern, Switzerland",2 ,,5.0,
Date of stay: September 2023,Luna Lee,Very Good,"Very Good Stay at Hotel G, the location is good & MRT station nearby. Many food around the hotel, especially thanks to the housekeeping Thi Thi. She always welcome us when we out and back to the hotel room. Definitely will stay hotel g when come to Singapore",Trip type: Travelled with family,"Kuching, Malaysia",1 ,,5.0,
