date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: August 2023,Natasha simone pammen,Family holiday ,Check is was easy Eric sia helped us and managed to get us checked in nice and early . Lobby area as clean . We stayed in room 47 on floor 7 lobby A . Room looks clean and comfortable and is fairly close to the city area ,Trip type: Travelled with family,,1 ,,3.0,
Date of stay: September 2023,Sightseer15459582505,Early check-in was a breeze!,"Check-in was a breeze! Booked a room eith balcony and Vivian gave us a room on the top floor, which by the way, has the best view of the city. Vivian was so nice and everything is ok, I would definitely stay here again when I come by Singapore.",Trip type: Travelled as a couple,,7 ,,5.0,
Date of stay: September 2023,Georgia C,Nice facilities- very compact,"The hotel is generally clean, located near transport (buses and MRT) and the pool area is lovely. Our room had a great view and the air con in the rooms was strong. Also well located for delicious food around little India.  The rooms are TINY - there are no wardrobes, there is nowhere to store a bag that doesn’t obstruct the door. So be aware of this, the rooms are comfortable but if you’re going to eat in there or hang out then it’s not the best. We were out and about a lot so it didn’t matter and we had a balcony that was very big. But yes definitely suited to a single traveller rather than two people",Trip type: Travelled as a couple,"London, United Kingdom",158 ,63 ,4.0,
Date of stay: September 2023,Wanderer59520264795,The worst part of our Singapore trip,"Singapore is a lovely place with friendly people so our experience with this hotel really let our trip down. We initially had a different hotel booked but we paid more to stay in this hotel for better proximity to things we wanted to do.  On check in, it was great they were able to check us in ahead of the usual check in time however my gratitude went sour when I was asked to complete a tripadvisor review on the spot and they would appear to NOT release my hotel keys until I had done it - what the?? I was also supposed to mention the staff's name but I didn't and she was very unimpressed with me. Sorry for that Vashanti, I've now mentioned you. I quickly deleted that review after I got my keys. I'm all for leaving reviews but not when being coerced. Makes me wonder how many",Trip type: Travelled as a couple,,4 ,,3.0,
Date of stay: September 2023,Daniel T,Service with a smile,"I arrive at the boss hotel and had Great service from Vasanthi, I arrived early to the hotel and got checked in straight away, the room was exceptional on a high rice floor, will definitely return in the near future.",Trip type: Travelled with friends,,1 ,,5.0,
Date of stay: August 2023,K.S.B.Suresh K,Great service and offer early check in without delay they gave good reception and warm welcoming I would recommend here,The person Mr.Amirul has given good welcome and make us very comfortable check in Thank you so much I would recommend this hotel for staying in Singapore the hotel have good staffs thanks for giving good hospitality ,Trip type: Travelled with friends,"Coimbatore, India",2 ,,5.0,
Date of stay: August 2023,jazzy81,Tihis hotel is the worst!,"With great excitement you have finally arrived in the most expensive city in the world and you eagerly squeeze into your tiny room and try and fit your luggage onto the 5 square centimetres of sticky floor.   After some exploring, you are ready to hit the sack. You settle down for the night and enjoy the sounds of your fellow hotel travellers poo as it travels throughout the graphically noisy plumbing system. After recovering from the nauseating experience, you are treated to the sounds of your neighbours violently clearing their throats and raucously expelling it into the sink as you listen to it follow along on the journey of the recently travelled poo. These sounds will lull you throughout the night as you come to the sudden realisation that the walls of your room are",Trip type: Travelled with family,"Brisbane, Australia",584 ,85 ,,1.0
Date of stay: September 2023,Quest35913253051,September 2023,"The staff was super quick, helpful and friendly! I can't say anything bad about them. We stayed at room 1624 and Amirul helped us with check-in! The rooms however were I guess average. The doors dont shut fully to the floor which leaves a little gap which also means that noise from the outside can get really annoying when trying to sleep. Especially when the room is close to the elevators which means that the elevator ""dings"" and the footsteps and voices of other visitors are rather loud.  The view was very nice and the AC efficient allbeit a bit loud as well. The wifi was alright in the room, it did however disconnect us from time to time - but it reconnected rather quickly so it wasn't that much of an issue. I would've liked to have a wifi connection by the pool, though,",Trip type: Travelled with friends,,1 ,,4.0,
Date of stay: September 2023,Giri_K,Thank you!,A hotel in the center of town with a pleasant atmosphere. The rooms are clean and the staff very friendly. Very accommodating and catered to the special requests. Many thanks to Vasanthi for her efforts.,Trip type: Travelled with family,,2 ,1 ,5.0,
Date of stay: September 2023,Nikhil Anand,Family tour Singapore ,Ms. Roja helped us out with early check in and smooth process work too. Inspite of being too crowded she went out of her way and got us d rooms . Thank you . Surely worth a visit. Beautiful weather and amazing surrounding ,Trip type: Travelled with family,"Chennai District, India",3 ,,5.0,
Date of stay: September 2023,Hayley K,Nice,From the outset it is a really nice hotel. Great customer service from Amirul and very easy check in service. Clean and comfortable hotel.  Early check in was a great advantage.  Free wifi in the lobby is an added bonus.  Very much looking forward to our stay in Singapore now.,,"Berwick, Australia",2 ,,5.0,
Date of stay: September 2023,Navigate18903394726,Stress free stay,"I was able to check in early to the room with the guidance of Mr.Amirul from the front desk.  The room was very clean and moreover , the bus stop is right in front of the hotel, and the mrt station is located few minutes away so it is in a very convenient location. I would definitely come back when I visit Singapore again.",,,2 ,,4.0,
Date of stay: September 2023,Christine,Amazing!,"This Hotel Boss has an amazing and perfect location and view (THE CITY VIEW!)  its just near from the bus and train station, and shopping center as well! big hotel yet affordable. plus Thank you Ms Vasantni for helping us, youre si accommodating! Will come back again☺️",,United States,4 ,,5.0,
Date of stay: September 2023,Lou W,Beauty of basic,"Our 5 night stay has been easy, relaxed and  without any hiccups.   Location is faultless, so many areas in walking distance, but if it’s too hot for the walk the MRT is on the doorstep.   The hotel itself is basic and rooms are slightly on the small side, but you spend so little time in them it really doesn’t matter. They are clean and practical and modern.   The best thing about this hotel though, has to be the staff!!! Every single person who with have come into contact with have been friendly and kind and genuinely care.   Andrew on reception couldn’t do enough for us, he was organised, helpful and we are completely grateful for the amazing service we received from him, thank you Andrew.   Thank you Boss team you have been great! ",,"Plymouth, United Kingdom",3 ,2 ,5.0,
Date of stay: September 2023,AyushDhupar,Excellent service and good Hospitality,Great hospital and very nice support services. thanks to Vivian. Each person were always happy to help. They help us to updated our rooms and took good care of now family.  The hotel is more convenient and near to most of the places.,,"Mumbai, India",3 ,,5.0,
Date of stay: September 2023,abdullaalqatari,Best Hotel ever,"It was such an amazing hotel , very cleaned,  costumer service was great very helpful , big thanks to Mr Eric Sia from the front Disk , for helping me out regarding my late check out really appreciate it 🙏",,,2 ,,5.0,
Date of stay: September 2023,Sightseer17051194370,We enjoyed the breakfast at 4th floor. Lifts are big and more to meet the requirements.  Premier room was fit for couple,"The hotel is big and situated near metro, little india and bugi street. Hotel View is beautiful. Hotel staff is warmful and helpful dedicated to customers. Room service daily done.   Ms Liv fei served the room daily. Her behaviour is very gentle and helpful to all customers. Cleanliness everywhere in lobby and rooms . ",,,1 ,,4.0,
Date of stay: September 2023,Ma Q,Nice view in the balcony,"I like the Premier Room with Balcony, here I can get fresh air and enjoy the nice view outside.  It seems that in many hotels of Singapore, the window in the room is a whole piece of glass which cannot be opened.  Thanks Eric Sia for helping me check-in.",,,1 ,,4.0,
Date of stay: September 2023,Resort59075397333,Amirul,Helpful staff and gave check in as it was available. Quick check in with taxi help also provided. Gave us information on hotel arrangements and attractions. Was very efficient and communicated well and helped with transport.,,,1 ,,5.0,
Date of stay: September 2023,Amima C,Lovely hotel,Check in was smooth and they allowed us to check in early after we had travelled for 17+ hours. Vasanthi was very polite and helpful. The hotel itself is very clean and nice looking. Would definitely recommend this hotel.,,,1 ,,4.0,
Date of stay: September 2023,bhavesh s,Stay,"Eric sia on the reception was amazing in assisting us & taking care of our needs, thank you for a wonderful stay & hospitality by you, would recommend to my other friends & relatives surely
Bhavesh sharma",Trip type: Travelled as a couple,,3 ,1 ,5.0,
Date of stay: September 2023,Voyage67220797717,Great experience,Very polite staff especially Vasanthi at the reception who helped us with an early check in. Very clean and neat hotel. Great ambience. So far it has been a great experience here at the hotel and looking forward to the coming days here.,Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: September 2023,Mo Morrison,Good excellent service,Excellent support on arrival at reception from the staff very pleased with everything on arrival. Good excellence service byVasanthi good experience good location n good excellence service super fast check in process by front office especially vasanthi who was friendly n warm n welcoming,Trip type: Travelled as a couple,"Barrow-in-Furness, United Kingdom",11 ,1 ,5.0,
Date of stay: September 2023,ginny,Worst hotel experience I have ever had,"Stayed at this hotel for 1 night before we flew home. Wow where to start, Worst hotel I have stayed in ever. We knew the rooms would be small but they are like shoe boxes and are so basic and the walls are paper thin so you hear everything. The hotel is advertised as a mid range hotel, I have stayed in better travelodges

With the exception of the cleaning staff the staff at this hotel are rude and curt and grunt at you rather than actually engage in any conversation with you

The breakfast is poor and not great and feels like a school cafeteria with plastic plates and cups and signs up saying you will be charged for wastage.

Think this hotel is geared at the Asian market and is not even mid range. Given how much we paid for the 3 rooms I expected better

Think they need to send their staff on a Customer services course as they certainly don’t know how to interact with their guests",Trip type: Travelled with family,"Whitley Bay, United Kingdom",3 ,3 ,2.0,
Date of stay: September 2023,Roving15810661548,Awesone staff.,"Li Na is very Excellence. She is always smiling and accomodating. The room is always clean and there is enough supply. The location is good, close to restaurants and good Food. The laundry is access8ble and available anytime.  I stayed in Room 16-74",Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: September 2023,Boi80,"Nice hotel, but very expensive",Paid $600 per night to stay in a shoe box.  3 people (2 adults and 5 years old child) expected to sleep in one bed for that price.  Only two towels for 3 people.  Tv doesn't work and internet is very slow and keeps dropping out.  Very disappointed. Waiting for someone to come and look at the tv,Trip type: Travelled with family,"Brisbane, Australia",58 ,59 ,,2.0
Date of stay: September 2023,Sanela,Everything was perfect,"The stuff was very nice (Amirul at the reception) and leave me in the roome before check-in time, so i sleept some hours after a 12h flight and than explore singapore. The room was clean and you have a laundromat in the hotel, where you can wash your clothes, i did it, because i‘m on a 8-week-trip. I will come back! Than you very much! Singapore is amazing!",Trip type: Travelled solo,,5 ,,,5.0
Date of stay: August 2023,Go67511175417,Good Hotel Great Experience,Had a great experience staying at this hotel the staff is very helpful. Especially Ms Vasanthi she helped and guided me..Got the best room and had a very pleasant stay at Hotel Boss..Recommended for People who like tolive within the centre of the city..,Trip type: Travelled with friends,,1 ,,5.0,
Date of stay: September 2023,Brian Lagandaon,Bestest ever!!,"Hotel Boss is strategically located in the heart of Singapore! Will definitely recommend this to your friends and family! The place is really nice, cozy and family friendly!

Special mention Vasanthi for best check in experience ever! Kudos!

Thank you Vasanthi and Hotel Boss!",Trip type: Travelled with family,"Paranaque, Philippines",8 ,2 ,5.0,
Date of stay: September 2023,Trail21467549098,Best and fast service,"Best and fast service thank you Roja!
I visited Singapore for the first time and she was so kind to help me check in and let me know the surrounding restaurants, so I was able to make the best start.",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: September 2023,Pedro V,"Amazing experience, great staff","Eric sia was amazing, helped all along the journey. Couldn’t be happier w the experience.  For sure this will be the hotel that I will choose whenever I come to Singapore. Super central, clean and amazing views. Recommended. - room 1987 pedro",,,2 ,2 ,5.0,
Date of stay: September 2023,Roving49842653433,Friendly check in and service!,"Had a great check-in experience with Vasanthi. She assisted me with early check in and was super friendly. The hotel is located in a great part of Singapore, just 10 minutes from MBS and other nice spots. ",,,1 ,,5.0,
Date of stay: September 2023,Jinhong X,good exprience,Vasanthi was really kind and helpful. the hotel is good! The location is really convenient and very close to some good restaurants and MRT station. It’s a good place to stay if you come to stay for couple days.,,,1 ,,5.0,
Date of stay: September 2023,Nick F,Great value and service,"Great location and service (Vasanthi in particular who upgraded my room and was very kind!).  Other thing is that the hotel was very reasonably priced relative to most other hotels in the area. The fitness area was also well stocked, got a couple good workouts in.",,"Dennis Port, Massachusetts",2 ,,5.0,
Date of stay: September 2023,OnAir21519201426,Nice lobby and room,The hotel is quite nice. The room is nice and clean. The hotel lobby is nice also. The receptionist Amirul is very friendly and helpful. Thank you that he helped us to get a large bed instead of twin bed. Overall thank you!,,,1 ,,4.0,
Date of stay: September 2023,yibo c,A good stay,"This is a very good value for money hotel, the location is very good, it is very convenient to go anywhere, the staff are also very friendly, will help you to take your luggage, luggage storage is also very convenient, the ground is my first time to stay hotel boss, I believe that the next time I come, will also choose this hotel!",,,1 ,,,5.0
Date of stay: September 2023,Resort00856526195,Thanks alot for the great hospitality,vasanthi treated us really well. Thanks alot for everything that you did. The whole staff of the hotel is amazing they really treat you well the staff on the front gate is also nice. Everyone that you see here are very polite,,,1 ,,5.0,
Date of stay: September 2023,Sophia,I bội g this hotel for myself I very enjoy it,It’s was great customer service and people here very friendly. The hotel very professional welcome me. Which is good the location I can go explored of Singapore city. I love the decorations hotel is very elegant and is the black and white theme,,"Bien Hoa, Vietnam",1 ,,5.0,
Date of stay: September 2023,Journey37069775564,Amazing staff and great hotel in Singapore overall for those who are looking for an affordable yet luxurious hotel,We are warmly welcomed by the staff and assisted very well by James who was super helpful. This is one of the best experience with getting an hotel so far and this is my first time in Singapore.  I would recommend this hotel to anyone who are looking for a luxurious and comfortable hotel while still being on the budget.,,,1 ,,,5.0
Date of stay: August 2023,ALDWIN JASPER S,Covenient location partnered with courteous staff,The location is perfect for those who want to be near the center of the city. Staff are very polite and the facilities are well-maintained. Roja in the front desk was very helpful during our check-in.,,,1 ,,4.0,
Date of stay: September 2023,Kumar Kashyap,Loved the stay,"The hotel is great and Ms Vasanthi was very helpful and cordial in doing the needful. The hotel is at the heart of the city and well connected. Doesn't matter if you are travelling solo or with family, the hotel will fit into your mind with an ease.  Kudos to team Hotel Boss",,"New Delhi, India",1 ,,5.0,
Date of stay: September 2023,Go00003183967,Very good hospitality by Vasanthi got 15th floor for 4 days,Got a fantastic view of the hotel on 15th floor for 4 days and amazing staff . Got greeted by Vasanthi and on my request got a fantastic room and service for 4 days  Must recommend for travellers as the view is great,,,1 ,,5.0,
Date of stay: September 2023,Safari60864262871,Quick checkin experience,"Great quick checkin experience by Vasanthi. We arrived early, but the hotel was accomodating and gave us a early checkin.  Neat and clean premises & although lots of tourists, the staff attended to quickly. ",,,1 ,,5.0,
Date of stay: August 2023,Camper32987750799,Very nice staff,Very polite staff  specially ms roja Clean property Nice food  Spacious room Appreciate early check in  Must stay Will do again when in singapore Close by to airport  And even the property is well connected ,,,1 ,,5.0,
Date of stay: September 2023,Explore10115609058,Good service,Customer service was great from Roja.  She was a very good person to work all day with a stranger and a very good guy who I am sure is the most important part in school life and it is not working and is not working ,,,1 ,,5.0,
Date of stay: September 2023,Cruiser18101116750,Guest experience. ,Very good hotel! Staff very friendly. Good service. Close to airport and good areas to eat around. Came for some leisure travel. And the staff helped alot around with everything. Would recommend the hotel. Thanks Roja for all the help,,,2 ,,5.0,
Date of stay: September 2023,Freedom55228221532,Good service,"The staff, Vasautul is friendly and helpful. I enjoy the stay and the staff even give me discount for the feeeeeeeeeeeeeeeee, good experience for staying in Singapore, will recommend this hotel for others in the future.",,,1 ,,4.0,
Date of stay: September 2023,Passenger35898060235,Amazing Staff Behaviour,"It has amazing staff, I was assited by Vasanthi and it was an amazing experience. I checked in early and room was neat and clean. The hotel seems to be well organised and very helpful towards the tourist. ",,,1 ,,5.0,
Date of stay: September 2023,Companion17875186369,Served by Roja .She is very  kind to is, This place is very comfortable and convenient to go. the Service is very good . Make me feel like at home . Also clean room I’m very happy of this .I ‘m sure that if i come back to Singapore again  I ‘ll be there for sure,,,1 ,,4.0,
Date of stay: September 2023,GoPlaces14143900358,Very good hotel,It very good hotel with very good and fast service Receptionist Vasauthi is good employ they give us room fast the hotel reception is too bigg The presence and vibe of hotel is too good I didn't face any communicatin problem,,,1 ,,5.0,
Date of stay: September 2023,Dreamer03277287138,Thank you Mr. Eric Sia,Nice hotel. Very recommended hotel in singapore. Courtesy is the best. Very clean hotel and affordable hotel. Make sure try this hotel if in singapore. Very near food hall and near mrt station is more important,,,2 ,,5.0,
Date of stay: September 2023,Relax14987216239,Good,"Nice hotel clean and comfortable the price is cheap and the location is strategically close to the MRT station close to the mosque even though the rooms are fairly small but clean, wifi ok, service is also good",,,1 ,,,5.0
Date of stay: September 2023,Isaac,Vivian is the best,Vivian at the reception was super nice and helpful. She helped me check in smoothly and made my day. I’d recommend you to stay there if you visit Singapore. The location is close to many attractions. You can take buses and subway to anywhere you want.,,,2 ,,5.0,
Date of stay: August 2023,DayTrip52200211717,Good,Roja!! who was at the front desk was really helpful and made our stay comfortable!! She helped us with check in process.  The hotel was accessible to all the nearby places and transport facility is good. ,,,1 ,,5.0,
Date of stay: August 2023,Carmen D,Helpful staff especially Roja,Roja was very cordial and helped us with an early check in which made our stay very comfortable. The hotel was clean and had many outlets so we could buy last minute things easily. Very accessible as far as transport and popular venue were concerned.,,,1 ,,5.0,
Date of stay: August 2023,Roam59165712986,Hotel Boss,Very nice staff specially Vivan. Hotel is very good and will select the same hotel if I again visit Singapore. Convenient location with many shops . Easy to get convience and nearby to metro and bus station.,,,1 ,,5.0,
Date of stay: August 2023,Wanderer36265909802,1 week stay in Singapore,It was a pleasant stay with very good transport links to the key attractions of Singapore. Very clean rooms with good views of the city. Swimming pool also has nice views with plenty of chairs and tables nearby.,,,1 ,,4.0,
Date of stay: September 2023,Saagar,Comfortable,"Vasanthi was really kind and helpful to us with luggage storage and checkout. Overall the hotel was really comfortable and will definitely be staying again. Hotel is nearby all attractions, will be recommending to friends and family.",,,1 ,,5.0,
Date of stay: September 2023,shashank s,Excellent,"Excellent service, Special thanks for Vivian, she guided us well in detail. She also recommended us places to visit. It was really wonderful experience talking to her. Hotel also looks amazing, well definitely visit again",,,2 ,,5.0,
Date of stay: September 2023,Dreamer23059986996,Loved the hotel experience,Loved the hotel🔥🔥  Awesome staff and respectful towards the guest.fully cleaned hotel and amazing experience of the pool and the gym.  The view from the 4 floor is amazing.the helping nature of each staff of also great 😃,,,1 ,,5.0,
Date of stay: September 2023,MJ Danes,1st time in SG,"Great experience Location is accessible Near MRT, Bugis, Easy access to Sentosa and Marina and City Hall which mostly connects tourist spots Thanks to Kimberly, Amirul and Darren for great service. The housekeeping team also did great job! AC needs improvement.",,"Bacoor, Philippines",7 ,,,5.0
Date of stay: August 2023,Tour59534609518,Nice,The room is clean and comfortable. It’s convenient to stay here with many choices of food around. It’s near to the MRT station as well so it’s quite easy access. Will come back again when travelling here.,,,1 ,,4.0,
Date of stay: September 2023,Quest08288529367,Good Experience on Stay in Hotel Boss,The room is big enough for single stay. The location of the hotel is very convinent annd near to many restrautant and Bar. The staff - Vivian was very friendly and helpful. We got free upgrade of the room type.,,,1 ,,4.0,
