date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: August 2023,Love_Life_Sydney,Clean and comfortable,"Hotel rooms in Singapore are so expensive so to find a decent hotel, with easy transport access and food locations, at less than S$200 was a good deal. The compact room meets your basic needs, no fancy mood lightning or lovely artworks to grace the wall. It has clean sheets and towels, a small bathroom and pump pack amenities. There is a kettle, glass bottle for refills, small selection of tea and coffees, a small fridge and a room safe. Closet space is quite limited but it has an ironing board which I used as a luggage rack. No bathrobes but there were 2 pairs of complimentary slippers.  It has usb ports and sufficient electrical points.   The location is the best. Bugis St, Bencoolen and Rochor  St MRTs are within walking distance. Behind the hotel is a massive night and day",Trip type: Travelled as a couple,"Sydney, Australia",2302 ,871 ,,4.0
Date of stay: August 2023,Bilal S,"Good hotel, great location ",This is a great place! Location is great but the room is very small. There is no room service available. Overall it's ok and they were kind enough to hold my luggage after check out! It is a good hotel!!,Trip type: Travelled with family,"Houston, Texas",4 ,,5.0,
Date of stay: October 2022,Anthony Fernando,Good place for a decent price.,Good place good price  Easy access to the city. All walking distance. Very close to the buggies junction. Food comers around you. Also walking distance to marina bay sands   Cozy rooms. Easy checking and check out.  Worth for the price. Quick getaway.,Trip type: Travelled with friends,"Dubai, United Arab Emirates",39 ,38 ,5.0,
Date of stay: August 2023,Mjkc204,Great Location and great staff.,"The IBIS was a neat and tidy hotel in line with the star rating. The staff on the front desk were super helpful and friendly. The hotel itself was in a great location from Orchard Road, Little India and had some local markets just behind it with the Bugis shopping malls. An atm and 7-11 was next door too.",Trip type: Travelled solo,"Ellenbrook, Australia",37 ,19 ,5.0,
Date of stay: August 2022,Aung Nanda,Good for budget stay.,I stayed there for 7 days. It was a nice location. Seven eleven is next door. Easy access to the downtown and there was also a night market in the neighborhood. Room was nice. However I had to wait for a long time to check-in but overall experience was good.,Trip type: Travelled on business,"Dubai, United Arab Emirates",3 ,4 ,,4.0
Date of stay: June 2023,David G,Excellent service from the Taste team,"Another excellent stay at the IBIS Bencoolen. Rooms as expected and cleaned on my request, which I like and breakfast as good as always. My thanks to Vicky and Shah, the management team at the TASTE restaurant, always concerned for all their customers and attentive to ensuring everything is topped up and ready. I will, no doubt, see you again soon.",Trip type: Travelled on business,"Canterbury, United Kingdom",20 ,3 ,5.0,
Date of stay: June 2023,Cruiser27845973656,Great care provided by the Hotel Engineering Team and Cleaning staff at IBIS Singapore on Bencoolen,"We had a wonderful stay here recently and were very delighted by the care shown by the Hotel Cleaning staff and Engineering team. My mother lost a screw on her luggage handle somewhere between Changi Airport and the Hotel. The handle refused to retract after that. She mentioned it to one of the Cleaning staff who phoned the Engineering team. A wonderful gentleman, Mr Seng Cheng Siang from the Engineering Team came to have a look, located some spare screws and fixed the luggage handle for us. Thank you to the team at IBIS Singapore on Bencoolen ",Trip type: Travelled with family,,1 ,1 ,5.0,
Date of stay: March 2023,roaming_kiwi58,Very good hotel,"We have stayed at this hotel numerous times and it remains our preferred Singapore hotel. Good location and well priced. Clean comfortable rooms. Nothing flash, but you know what you are getting when you book Ibis. Lots of eating and shopping options nearby. Transport links are excellent.  Staff are friendly. Our only disappointment this stay was the lack of help with a jammed lock on our suitcase. I asked on checkin if someone could wrench it off. Initially they said they would have to wait for engineering personnel the next morning to help us. I said we needed to get into our suitcase that evening and if they had a screwdriver or something we could just wrench it and break it off. No big deal! They said if we went to our room they would get someone to come to us with some sort",Trip type: Travelled as a couple,"Christchurch, New Zealand",2747 ,642 ,4.0,
Date of stay: November 2022,DP_,Special ,"My third stay here was amazing as always. Ibis Bencoolen Singapore is my a special place for me and my husband, from our first day together until we decided to come back here on our 5th Wedding Anniversary.   It was a wonderful place, good location, close to MRT station.   We will definitely come back again soon ",Trip type: Travelled as a couple,"Kuala Lumpur, Malaysia",5 ,,5.0,
Date of stay: June 2023,Radhika A,Clean hotel at a great location,"Clean hotel in a convenient location. They have a restaurant that has couple of Indian veg food options. There is a 7-11 store next door. Bus stop is right outside the door. 3 mrt stations at walking distance (Bugis,  Bencoolen and Rochar)  We had taken family room with 3 beds. It was congested but manageable. Toilets are v small, ibis standards. If you take the room for 2 ppl it will be comfortable  Sleep quality was good. Beds and linen were clean.  House keeping was on point. Full marks on that!  There are many restaurants nearby. Fortune Centre at the end of the road has a few veg Asian restaurants.  Staff is friendly and provides guidance if required",Trip type: Travelled with family,"Bengaluru, India",159 ,145 ,4.0,
