date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: September 2023,Scenic27042346319,My F1 Trip staying place September 2023,"The Hotel front-desk was very nice and welcoming, the house keeping team were very courteous and kept the room regularly clean and responsive to phone requests for additional towels and needs for the room.  The front desk was good and always listened to the particular issues and her name is  Suba the mgr on duty.  Provider by Mr Thompson ",Trip type: Travelled with friends,,4 ,,,5.0
Date of stay: April 2023,gmac73,Great location & excellent staff,Fantastic hotel in a great location! Excellent staff & everything was immaculately clean. The pool is amazing & open until 10.00 pm👍 Room was a decent size & very comfortable. Clarke Quay MRT station is right next door via escalator- the Singapore train system is so cheap & easy to use. I’d definitely stay here again if I even come back to Singapore.,Trip type: Travelled with family,"Melbourne, Australia",61 ,43 ,,
Date of stay: September 2023,williefil13,Comfy hotel,"The hotel is well located  downtown , close to the Clarke Quay. Many restaurant options at walking distance. The subway is just across the street. The hotel is modern and I was on the executive floor. The room was modern, the bed was very comfy with pillows that you can select. A good working desk and reliable wifi. The bathroom was small but functional.Breakfast was on a separate floor with nice views of the city. A choice of eggs and a buffet of cold cuts, salad and yoghurt, not extensive but enough for a good breakfast .Amenities in the room were good, a kettle, Nespresso coffee and TWG tea bags and water.",Trip type: Travelled on business,"Singapore, Singapore",1037 ,187 ,,4.0
Date of stay: September 2023,Poosan,Great Stay During F1 September 2023,"We stayed here for 5 nights over the F1 Weekend. The hotel is in a great location both for visiting the F1 and sightseeing. Close to all the bars/restaurants in Clarke and Boat Quay. Also walking distance to China Town. The hotel itself is immaculate, great clean rooms and reception/bar area. We only ate in the restaurant for breakfast but the food was great and staff attentive and efficient. There’s also a great pool area with outside bar. The pool did get busy but we used the Sun loungers in the garden area and it’s a hidden gem of a sun trap and really private. We will definitely use this hotel again when we return.",Trip type: Travelled as a couple,,750 ,89 ,5.0,
Date of stay: March 2023,AJS2015,An excellent hotel!,"We stopped over at the Paradox on both legs of a holiday to Australia. Both visits were five star and we couldn’t really fault the hotel. It’s modern, clean, nicely situated to experience Singapore and the staff we encountered were excellent. Service here really is first rate. Would thoroughly recommend.",Trip type: Travelled as a couple,"Calne, United Kingdom",147 ,84 ,5.0,
Date of stay: September 2023,Angela C,To dine at Ellenborough to celebrate our wedding anniversary but……,"We are not happy with the restriction of area that Ellenborough had made. We understand there were not many people on that night so they closed one area.However it doesn’t make sense for them to close the area where the food are. However thanks to one staff who made exception to let us sit near to where the food are. Hope the management will make improvement for the area closed, else it puts us off especially we have been one of the very regular customer who came to this place and the area which we always go to is closed and made no sense to be closed when the food are so near to the area we want to sit .From The unhappy ones ",Trip type: Travelled as a couple,,4 ,3 ,3.0,
Date of stay: September 2023,Maristela Oliveira,"Very nice hotel, friendly team, very good breakfast and excelent location","All the team are very friendly specially Suba from the reception. The room is big enough, nice shower and a good view from the Quay. Lot of restaurants around and a very vibrant area. I strongly recommend . The city is very hot so be prepared with hat and water",Trip type: Travelled as a couple,,5 ,2 ,5.0,
Date of stay: August 2023,Tour46879408504,Very Good Experience,"I had a very good time during my stay, I enjoyed the restaurant and pool .It’s close to other famous places of the Lion City. Also, Ms.Symah is very kind .This place will always be my choice when I come to Singapore.",Trip type: Travelled solo,,1 ,,,5.0
Date of stay: June 2023,KARDJK,Will stay here every time we visit Singapore,"This hotel is just great - great location, great room, great facilities, great pool! The staff are very nice, polite, helpful and friendly.   I cannot stress how good the location is here! Great to be right by Riverside Point for the food, bars etc and the MRT station is about a 30 second walk away.   We had toiletries in the room and waters all replenished daily.   The room was really spacious which was good as we had big suitcases and still plenty of room to move around.   We love Singapore and will make this our hotel any time we visit.",Trip type: Travelled as a couple,"Leeds, United Kingdom",88 ,91 ,5.0,
Date of stay: September 2023,laboot,Wonderful Staycay,"Wonderfully located near Clarke Quay including the The Central shopping mall. Friendly staff, nice pool with slides for kids, lovely breakfast. While our room was spacious, hope there could be more light and may be a few more chairs. ",Trip type: Travelled with family,"Singapore, Singapore",21 ,20 ,5.0,
