date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: September 2023,Maps23175335498,Wonderful central located Hotel,"My wife and i stayed at the Park Regis two weeks ago.
The location is fantastic close to Clarke Quay and only a 30 minute walk (If you wish to do this) to Marina Bay
The Hotel is very clean, modern & tidy.
Service is excellent. I will point out a few people who made our stay very enjoyable.
Daniel the concierge, Sophia who made my wife fantastic omelets each morning .
Cannot recommend the Hotel enough.
Dean & Christy Wright
New Zealand",Trip type: Travelled as a couple,,1 ,,4.0,
Date of stay: August 2023,lam12342023,"Good hotel, central location","The hotel is close to all major attractions. The rooms are clean and modern, they are on the small side but they have all the comfort and amenities. The pool is nice. I would come back again and would recommend it. ",,"San Francisco, California",1 ,,5.0,
Date of stay: August 2023,rofidahwork,BAD,"Im staying at this hotel for 4nights. Have AIA Global conference in Singapore. And im the one who are giving rated by AIA about any hotel that im staying for recommendations purposes. The hash brown cannot eat at all, hard like crackers and very oily, pau bun also very cold and hard. Not so many choices..on my aecond day staying,  one of the staff was holding me from going out of the restaurant to checkin my name on the list or not. Im feel disappointed and offended. Back from conference at 10pm but nobody infront of the main doors. Bottled water not replenish well at my second day.   When checkin, ask the checkin staff already, did my booking included with the breakfast, he said yes. Even though he already know that im staying there  with my colleagues since he already take our",,"Kuala Lumpur, Malaysia",1 ,,1.0,
Date of stay: August 2023,yasokun88,Highly recomend,"The room was clean, very comfortable, and the staff was amazing. The location is also good. It went over and beyond to help make our stay comfortable. There is nothing more to expect! I highly recommend this hotel for anyone staying this area.",,,1 ,,5.0,
Date of stay: August 2023,N6558KYsarahm,"Fantastic Checkin Service, great location.","We arrived early, after a long haul flight and no sleep, not expecting a room to be available.  The reception staff (Angel) was true to her name, and went to some effort to ensure that we could check in as soon as possible.   We were truly grateful.  The hotel is conveniently located just across the road from Clarke Quay and is walking distance to Chinatown.  The concierge staff were also very helpful, providing local advice and tips.  ",,Belconnen,16 ,4 ,4.0,
Date of stay: August 2023,Excursion33152971550,Totally not recommended for vegetarians ,"Location and house keeping service are positive. Extremely disappointed with food.Close to zero vegetarian options available at breakfast and the couple of options also remain same for all the days. Even the fruits provided are not of great variety for the price of room/breakfast.  All additional requests of mine were rejected. Asked them either to cut a fruit  for my baby or give me knife, they have given disposable knife and disagreed to even cut a fruit. I requested for a bucket/mug for baby bath which was also denied.  No transportation to even Vivo City mall provided by the hotel (some hotels do provide that at least for couple of places to make it convenient for the guests).",,,1 ,,1.0,
Date of stay: August 2023,rayphung,Stay at Park Regis Singapore," Our stay at Park Regis was extremely pleasant - our double room was clean, tidy and of a good size. Housekeeping ensured that we were well looked after and our rooms were made up on a daily basis as required which was fantastic.   The team at Park Regis were attentive to our needs throughout and we were also able to store our luggage safely as well as use the hotel’s shower facilities following check out due to our late flight.   The location of Park Regis was extremely convenient which was only a short 5 minute walk to Clarke Quay, the nearest MRT station.   Thank you for a wonderful stay Park Regis Singapore!",,,2 ,1 ,,5.0
Date of stay: August 2023,elmac231,Nice rooms and service,"The service was great, and rooms clean. There is no separating wall for the bathroom to the beds in the twin room which made privacy difficult between friends, but otherwise a very nice hotel. Great location",,,1 ,,5.0,
Date of stay: August 2023,tinatapa,Ideal Singapore stop over,"A great location for a short stay.  Staff so professional and efficient.  Not over keen on the configuration of the room but that’s just us.  Great having breakfast facility, and oysters to die for at dinner one night.",,"Taupo, New Zealand",1 ,,5.0,
Date of stay: August 2023,Kerry D,Great Hotel,Hotel was very accommodating as we arrived early and we allowed access to the pool area and shower before checking in. Staff we’re very helpful with all requests and Hotel was very clean and bed was amazing. Would recommend this Hotel to anyone travelling to Singapore,,,1 ,,5.0,
Date of stay: August 2023,brentmG7788RY,Brent,"Reception Staff and Room Cleaning was Excellent.  Very much appreciated (after a 13 hour flight from Paris & Dubai)  being able to use our room almost immediately ( before usual check in) to freshen up and rest before enjoying the Singapore sights.   Room for improvement -  Some front door Staff at times,  seemed busier talking amongst themselves than opening doors for guests with bags.  Front Restaurant area concierge appeared to be having a bad day when we met her  as she appeared not welcoming, or happy to deal with us at that time.   Other breakfast Staff clearing tables were lovely. ",,"Melbourne, Australia",1 ,,5.0,
Date of stay: November 2022,Realistic Travellers,Great location and good hotel ,"Hotel is handily placed near to the MRT or the hop on /hop off bus and near to Clarke quay for bars and restaurants etc.  Room was comfy and well equipped, slept well and didnt hear any noise. Break fast had enough variations to be fine for us and they held our luggage for us on our last day whilst offering good advice when asked.    ",,"Northampton, United Kingdom",589 ,208 ,,4.0
Date of stay: August 2023,Curiosity29640585767,Best Rooms near by to major attractions and MRT WITH EXCEPTIONAL staff,"Convenient location, easy access to MRT stations and very near to happening places, friendly staff, cozy rooms. I highly recommend this place due to excellent customer service by Grazel who was exceptionally well trained to suffice any traveler needs. All rooms and lobby were neat and clean. Once again I appreciate their service and would definitely choose this hotel option when I’m traveling to Singapore.",,,1 ,,5.0,
Date of stay: August 2023,oct1819,Average room at great location,"Room lights were not working and ac was too clod or too hot.  Room service and staff was good, helped me in all the ways.  Did not use the resturant for lunch or dinner.  Not Indian vegetian prefered option. ",,,1 ,,3.0,
Date of stay: August 2023,Talon_12,Great Location,Special mention to Mary in housekeeping and the chef who made the omelettes every morning (sorry did not get her name). Check in wasn't the best. Concierge staff stood and watched us struggle with bags and open the doors. Room was hot on check-in and trouble with aircon. Sliding door also did not lock. Fridge was hot and could not call front desk on phone. Had to go to 3rd floor and all issues were rectified by the time we got back from dinner. ,,"Melbourne, Victoria, Australia",17 ,5 ,4.0,
Date of stay: August 2023,chentaoapril,Nice stay,Every staff member we met was very polite. The checking in and out process were fast and smooth. The hotel is clean and has a very convenient location (only a block away from one of the subway stations). ,,,1 ,,5.0,
Date of stay: August 2023,Danuta K,Park Regis Reviwe,"We found all of the staff to be friendly, efficient and very helpful. Room and facilities were as to be expected and the location was great.  Would stay there again and would recommend the property to friends and family.",,,1 ,,5.0,
Date of stay: August 2023,dbedwards2023,Past it’s best by date,Hotel is well located in the city very close to Clark quay. Interior decoration is very tired and needs to be upgraded .overall cost is not value for money .won’t return or recommend..staff are falling over themselves in the restaurant some feeding themselves while guests present not acceptable.,,,1 ,,2.0,
Date of stay: July 2023,rh022493,Park Regis Singapore,Very good location close to Clark Key and its varied restaurants.MRT Station just across the road made exploring Singapore easy. The staff were excellent and breakfast provided  exceeded our expectations. The pool was very good and size allowed lap swiming,,,1 ,,4.0,
Date of stay: August 2023,Pra50,"Quick, efficient check-in, check-out for 1 night layover with early checkout","One night Transit layover in Singapore. Check-in, checkout were quick efficient. Concierge desk was helpful early morning. Room was clean, comfortable. Did not use other facilities, so unable to comment.",,Vancouver,20 ,19 ,5.0,
Date of stay: August 2023,gjhunter2023,"Friendly and helpful staff.  Compact and well designed room, very comfortable",Friendly and helpful staff.  Compact and well designed room very comfortable.  Breakfast good.  Useful to have self service laundry.  Good location handy to a lot of attractions. Generally a very pleasant place to stay,,,1 ,,5.0,
Date of stay: August 2023,Sam M,Extremely slow WiFi speed and issues with room - avoid.,"Hotel's location is quite convenient when travelling for business. That is just about the only plus I can think of.

Negatives in my stay included:
- Extremely slow WiFi speeds - not even enough for a WhatsApp call. When enquired, I was made to pay an additional amount for marginally faster WiFi - this was S$80 for 3 days - not at all good.
- Breakfast was not included with my booking - although that might just be the way the booking was made so not the hotel's fault. I paid S$29.70 for daily breakfast.
- The hair dryer in my room was broken.
- Aircon controls in my room had a mind of their own.
- Wash basin kept getting blocked and was very slow to drain.

I stayed in Room 223 so your experience in other rooms may vary. Overall the hotel was not great value and being charged a lot of money for just about workable WiFi was a total cash grab. I would not recommend this hotel for business.",Trip type: Travelled on business,"London, United Kingdom",76 ,17 ,1.0,
Date of stay: August 2023,Assumption G,Park regis Singapore ,"The room was self sufficient and very clean. Excellent location close to MRT  Clarke quay and China Town. Great service by the staff and housekeeping. We booked with breakfast, it was good but ensure you be on time for breakfast or else you find them clearing the table",Trip type: Travelled as a couple,"Ernakulam, India",34 ,3 ,5.0,
Date of stay: August 2023,sairyuta,Frequent use,"Whenever I go to Singapore, I always use this hotel.  It is well organized and I always spend my time with comfortable. As this is not a big hotel, the elevator is easy to access and people are so friendly.  Plus, breakfast is nice.",Trip type: Travelled on business,"Tokyo, Japan",1 ,1 ,4.0,
Date of stay: August 2023,Eden,Great service,"We stayed in various hotels throughout our holiday and without a doubt the staff service in the park Regis was our favourite. Providing us with a warm welcome and excellent food/activity recommendations. Getting transport via taxi was very easy and with no stress involved at all. It’s not a grand hotel but the rooms were very nice, clean and had all the necessities. The pool chairs being in the pool was also a very nice touch.",Trip type: Travelled with family,"Hamilton, New Zealand",1 ,,,5.0
Date of stay: August 2023,carolngkityan821,SG 10 yrs trip!,"SG visit after 10 years. Good location. Nice & clean overall. For breakfast, please include avocado. For room, please include slippers. Staff to be more attentive, esp. at entrance for security. Thanks",,,1 ,,4.0,
Date of stay: August 2023,JulieStoneybrook,Park Regis ROCKS!,"Such a clever architectural room design, compact, efficient, charming, comfy. Glorious pool enhanced by marvelously masssging waterfall. Appreciated ability to change room to city/pool view. Breakfast buffet sumptuous - with changing dishes daily.  Except for the sautéed wild mushrooms - ooooo, so glad to be able to savor daily.  Big thanx!",,"Claremont, California",193 ,47 ,5.0,
Date of stay: July 2023,leechangbae81,Generally good,"I was there for a short time. So, I am not able to use the pool and gym, etcetera. I wouldn’t want to estimate the score for this hotel.
However, Breakfast was super good. The concierge and info desk people were super kind.",Trip type: Travelled on business,,1 ,,4.0,
Date of stay: August 2023,Paradise220489,Short stay in Singapore,"The hotel is close to Clarke Quay and was the ideal base for exploring the City over a few days.  A compact hotel with good facilities and a great team.  The room we choose was small, but worked well.  The only odd bit was having the bathroom facilities in the room without full separation.  The hotel also let us stay on within the pool and gym area after check out as our flight was late that night.  It made our last day very easy which we appreciated.",,,2 ,,4.0,
Date of stay: August 2023,L6VPmanuell,Park Regis Stay,Room was not serviced until about day 3 or 4. Television did not work during stay. Displayed no signal. Could always hear a fan in the toilet/shower area which made it difficult to sleep. Concierge staff were always very helpful. Breakfast in the morning was really good too. Location was rather central.,,,1 ,,3.0,
Date of stay: August 2023,lillh0lm,Fantastic location,"The hotel is fantastic located between china town and clarks Quay - close to metro station. Nice with pool room with the little garden. The personale was helpfull
and friendly. The cleaning was good. All in all good value for the money in Singapore",,"Copenhagen, Denmark",1 ,,4.0,
Date of stay: August 2023,ntjwrs,A Very Worth and Good Stay,This is one of the best Hotel I ever stay . The room is clean and the ambience is good. I love my stay there during my staycation.. Will love to look forward to going this place again and hopefully the same room because it is so wonderful view. I love the room.,,,1 ,,5.0,
Date of stay: August 2023,flashpacker55,Good location,"Close to Clark key and Chinatown,  Close  to Mrt friendly staff  small room.   Small Gym pool area refreshing.  Room attendant very helpful went out of her way to ensure we had everything we needed.........",,"Gold Coast, Australia",106 ,51 ,4.0,
Date of stay: August 2023,Louise L,Almost five star,"Nearly everything about this hotel was five star. The staff were extremely courteous and helpful and friendly, the food in the restaurant for dinner and breakfast was tasty and a good variety, the pool was a delight to swim in and relax beside. We stayed in 4030 with a room facing the pool. There was a little noise from children in the pool but it wasn’t late and didn’t last for long. It is close to Clarke Quay, a short walk to Chinatown and a good food court and also the MRT.
The only negative was the design of the toilet in the room which didn’t have a solid floor to ceiling door so there was potential for smell to be in the small room when one used the toilet. Most guests avoided this by using the guest toilets in the dining or pool area.",Trip type: Travelled as a couple,,2 ,,,4.0
Date of stay: August 2023,Lynette R,"Good hotel, good people great weather.",Resh was very helpful advising us the best places to travel to and how to get there. the hotel was very nice and everyone was very helpful. After awhile we felt very much at home. Singapore is a lovely and informative country . The people are very kind and helpful and speak good English.,Trip type: Travelled with friends,"Brisbane, Australia",1 ,2 ,5.0,
Date of stay: August 2023,agrinstead-Jones,Park Regis,"Great location, Quite. Room was a little small but done the job 2 minute walk to shopping mall 5 minutes to china town . A short taxi ride to Sentosa island. Staff were very friendly and help full. Great food.",,"Melbourne, Australia",3 ,1 ,4.0,
Date of stay: July 2023,milehunt696969,A perfect 3 night stay,"Lovely reception staff couldn't be friendlier
Great pool and lounger towel facility
Rooms a bit small but housekeeping do a good job to keep them clean.
Great gym
Good location to Clarke quay restaurants and boat trips.",,"Henley-on-Thames, United Kingdom",1 ,,5.0,
Date of stay: July 2023,jenniferpollock79,Great location,"Well presented and very clean.  The location is great, near transport and Clarke Quay. The staff most helpful. Nothing was too much trouble. The pool is an added bonus. Would highly recommend to anyone looking for a great value holiday.",,"Sydney, Australia",1 ,,5.0,
Date of stay: July 2023,jpinfra2023,Not so good,"Average room was given that was block view they purposely done that room service was pathetic 1/2 no response for service I m not happy with the hotel
Only station was near by rest all was ok I don’t like the service",,"Mumbai, India",1 ,1 ,2.0,
Date of stay: August 2023,Cosmic57,Beware the hipster pseudo-bathroom,"I was going to give it a lower score based simply on my preferences but that’s hardly hotel’s fault. The fact is that every member of staff I interacted with was professional and pleasant. The hotel is clean and the rooms comfortable. The location is excellent - a 5 minute walk to Clarke Quay and it’s MTR station, 15 minutes walk from the bars and restaurants of Boat Quay and just a bit longer to the heart of the business district.

The one objective criticism I have is the wifi. It’s hopeless; I had to do Teams call back to the UK on my phone’s 4g because the hotel wifi kept dropping out. I expect better.

My subjective gripes - the bar has all the atmosphere and comfort of a temperance Hall and shuts early. Not a problem - I didn’t use it.

But…

My main gripe is the “bathroom”. Why does some clown in the design department of the hotel chain think it’s a good idea to take what was a perfectly good bathroom out and substitute it with an open plan sink area with a tiny toilet and tiny shower at the back? I can just about understand it in a modern hotel designed that way but this hotel once had a bathroom and now it doesn’t. This is a creeping blight in hotel chains.

I was on my own - just as well as the door into the toilet has a half inch gap where you can clearly see the bed. Had my other half been there she could have turned and seen me on the crapper from bed. Not my best look.

I try to avoid hotels like this like the plague but unfortunately they never reveal if they have what I term “hipster pseudo bathrooms”.

I most certainly will not stay here again",Trip type: Travelled on business,"Suffolk, United Kingdom",190 ,77 ,,3.0
Date of stay: July 2023,Sanjar R,Excellent,"Excellent - that's a word I would use for everything about Park Regis hotel.
Location, price, service, staff.
The staff is outgoing and attentive to a detail. Air conditioning and Wifi are out of this world
Thank you for your excellent work and God bless you all!",Trip type: Travelled on business,"Tashkent, Uzbekistan",1 ,,5.0,
Date of stay: August 2023,jaeukpark2023,My stay at Park Regis,"Excellent service from
-concierge staff
-restaurant staff
-reception desk staff
but cleaners made a mistake not cleaning my bathroom and leaving no towels.

Reported and staff then compensated me with a taxi voucher to the airport. I thank Grazel and Sabri a lot",Trip type: Travelled on business,,1 ,,4.0,
Date of stay: July 2023,pamelamheel,Pool Access Room,"Hotel was situated in great location, would recommend for this reason, breakfast lacked variety after 4 days and pool access room gave you NO advantages over anyone else as lay lows were often occupied from early morning with people who did not have a pool room. Also children are still playing in pool at 10pm. Could be quite noisey by pool users til late at night",,"Singapore, Singapore",1 ,,3.0,
Date of stay: June 2023,jonesofcolne,First Time in Singapore,"So pleased with our choice of hotel for our first visit to Singapore. Great location, lovely comfortable, clean room, with amazing views of Clark Quay. Breakfast was varied and enjoyable. Staff were very welcoming and helpful. Would totally recommend this hotel.",,"Colchester, Essex",35 ,31 ,5.0,
Date of stay: July 2023,13488861692,Excellent,I bring my son in this trip. we like the swimming pool very much. thank you for the assistance of your staff who are very fine and the smile are still on their faces. we love this hotel which is very close from MRT.,,"Beijing, China",1 ,,5.0,
Date of stay: July 2023,scsarmiento,2 Business Trip Stay,"very well placed near Clarke Quay station, staff are all very friendly and accommodating. will definitely stay here again in the future business trip and personal stay. room is also very clean, this was my first time staying in a uniquely design room and bathroom layout.",Trip type: Travelled on business,"Manila, Philippines",1 ,,5.0,
Date of stay: July 2023,Bluebags51,Warm and friendly,"From the moment we entered all the staff was warm and friendly but completely professional. The rooms are not large but plenty big enough for two plus luggage there is a lovely window seat for viewing the pool and the street below. There was a gym and restaurant personally didn’t use.

The hotel is well maintained and clean. Across from Clarke Quay and MRT and buses. We were able to get around easily.

A special mention to Susan in reception highly professional super friendly.

Thank you for a fabulous stay",,"Sydney, Australia",1 ,,5.0,
Date of stay: July 2023,jules8556,Great position well maintained friendly hotel,"We have just returned from an eight niight holiday in Singapore four nights in Sentosa the rest in CBD the last three nights in Park Regis we had only booked one night but our plans changed last minute and had to stay two more nights. Through out our stay we were attended to by Susan Lim what a lovely women she was professional super friendly and reassuring she arranged the extra nights for us even though they were pretty much fully booked. On a daily basis she made sure our holiday was going well the staff at the Park Regis were all friendly helpful and knowledgeable.

The hotel is very well presented the rooms are not overly large but fine for two plus luggage. We enjoyed the pool each day the water was clean and a good refreshing temperature. We were able to use that area after checkout as we had a later flight there was a hot shower to use and clean towels.

The hotel is well positioned across the road from Clarke Quay MRT and buses we were able to get around easily.",Trip type: Travelled as a couple,"Sydney, Australia",311 ,68 ,,5.0
Date of stay: July 2023,Brendan C,Great hotel and service,"Great hotel, especially stand out service. The hotel reception was amazing. One of us had a bad migraine and the hotel person helped us out big time - very personal service and really made our stay extra special.",Trip type: Travelled as a couple,,2 ,,5.0,
Date of stay: July 2023,Adventure13576365203,Its a beautiful property and a perfect stay.,"Loved the stay, the property is beautiful. We stayed here for a week and they have all amenity available. The rooms are comfortable and the pool is amazing
Enjoyed our time and would definitely stay here if I come back.",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: July 2023,cinzanodry,Great!,The Staff were very polite and helpful. We loved the 25m pool and fountain. The buffet breakfast was delicious with lots of choice. The Concierges were happy to order taxis and offer advice. We had a great family holiday!,,,1 ,,5.0,
Date of stay: July 2023,wolfgangkehr,My Stay at Park Regis,"All in all appropriate hotel for short trips, perfectly located with a kind of family atmosphere. Breakfast should take more consideration on European guests. Hotel has no real bar and lobby does not have appropriate meeting places.",Trip type: Travelled on business,,1 ,,4.0,
Date of stay: July 2023,leesujinlys1130,I LOVE Park Regis Singapore,"For my first family trip, I stayed at the Park Regis Hotel in Singapore. All the staff were friendly and the service was good. Also, the location was good, so it was convenient to go sightseeing. It's a hotel I want to visit again next time.",,"Cheongju, South Korea",1 ,,5.0,
Date of stay: July 2023,oliver279,Excellent stay near China Town Point,"I had a very pleasent stay on a business travel for 5 nights: nice spacy rooms, very good breakfast with wide selection, pool with waterfall for chilling and swimming. Near to China Town Point. Marina bay walkable in arround 20 min. MRT station only about 5 min by walk (nearly completely roofed, in case of heavy rain).",Trip type: Travelled on business,,1 ,,5.0,
