travel_type,rating,label,covid,is_local,aspect_sentiment,topic_2,topic_0,topic_1,topic_3,overall_textblob_polarity
couple,4.0,Positive,PostCovid,0,"[[hotel, clean, 2], [hotel, comfortable, 2], [food, decent, 2], [room, good, 0], [room, 'less good', 0], [room, compact, 0], [bathroom, clean, 1], [bathroom, small, 1], [room, small, 0], [space, safe, 1], [night, massive, 0]]",0.3111111111111111,0.1433333333333333,0.20555555555555557,,0.14974937343358397
family,5.0,Positive,PostCovid,0,"[[room, great, 0], [room, small, 0], [hotel, good, 2]]",0.7,0.275,,,0.45499999999999996
friends,5.0,Positive,PostCovid,0,"[[food, close, 2], [check, easy, 3]]",0.0,,,0.43333333333333335,0.3962962962962963
solo,5.0,Positive,PostCovid,0,"[[staff, great, 3]]",,,,0.8,0.3120833333333334
business,4.0,Positive,PostCovid,0,"[[room, 'also night', 0], [time, long, 3]]",,0.0,,-0.05,0.3729166666666667
business,5.0,Positive,PostCovid,0,"[[stay, excellent, 3]]",,,,1.0,0.5833333333333334
family,5.0,Positive,PostCovid,0,"[[stay, wonderful, 3]]",,,,1.0,0.72
couple,4.0,Positive,PostCovid,0,"[[hotel, good, 2], [staff, excellent, 3]]",0.7,,,1.0,0.2674242424242424
couple,5.0,Positive,PostCovid,0,"[[day, first, 3]]",,,,0.25,0.3264285714285714
family,4.0,Positive,PostCovid,1,"[[hotel, friendly, 2], [check, due, 3], [stay, good, 3], [stay, 'overall good', 3]]",0.375,,,0.3083333333333333,0.33282051282051284
solo,4.0,Positive,PostCovid,1,"[[room, rowdy, 0], [size, clean, 0]]",,0.18333333333333335,,,0.41574074074074074
family,5.0,Positive,PostCovid,0,"[[breakfast, great, 2], [walk, little, 2], [walk, easy, 2], [food, great, 2], [breakfast, best, 2], [room, lovely, 0]]",0.5691666666666666,0.5,,,0.4446428571428572
family,3.0,Neutral,PostCovid,0,"[[room, low, 0], [room, dark, 0], [breakfast, enjoyment, 2], [breakfast, 'less enjoyment', 2], [hotel, average, 2], [staff, good, 3]]",-0.10555555555555556,-0.075,,0.7,0.15509259259259262
solo,5.0,Positive,PostCovid,0,"[[hotel, good, 2], [hotel, excellent, 2], [staff, good, 3], [staff, 'regularly good', 3], [breakfast, 'well trained', 2], [breakfast, friendly, 2], [breakfast, good, 2]]",0.555,,,0.7,0.3506944444444445
business,4.0,Positive,PostCovid,0,"[[hotel, great, 2], [floor, close, 1], [floor, several, 1], [check, local, 3], [pool, somewhere, 2], [time, next, 3]]",0.4,,0.0,0.0,0.12619047619047621
couple,4.0,Positive,PostCovid,0,"[[hotel, affordable, 2], [night, late, 0], [room, pleasant, 0], [hotel, affordable, 2], [area, affordable, 1], [area, good, 1], [room, comfortable, 0], [area, laundry, 1], [area, clean, 1], [hotel, good, 2]]",0.2333333333333333,0.27777777777777773,0.26666666666666666,,0.23374999999999999
business,2.0,Negative,PostCovid,0,"[[night, good, 0], [breakfast, friendly, 2], [breakfast, good, 2], [food, nice, 2], [food, clean, 2], [food, great, 2], [food, local, 2], [check, proper, 3]]",0.47361111111111115,0.7,,0.0,0.2395833333333334
friends,4.0,Positive,PostCovid,0,"[[room, perfect, 0], [walk, short, 2]]",0.0,1.0,,,0.4904761904761905
,4.0,Positive,PostCovid,0,"[[room, triple, 0], [food, good, 2]]",0.7,0.0,,,0.55
,4.0,Positive,PostCovid,0,"[[room, clean, 0]]",,0.3666666666666667,,,0.09305555555555556
,5.0,Positive,PostCovid,0,"[[room, daily, 0], [room, 'also vegetarian', 0], [room, first, 0]]",,0.08333333333333333,,,0.3921875
,5.0,Positive,PostCovid,0,"[[time, first, 3]]",,,,0.25,0.46597222222222223
,5.0,Positive,PostCovid,0,"[[hotel, ibis, 2], [hotel, 'best ibis', 2], [stay, amazing, 3], [hotel, cheerful, 2], [hotel, colorful, 2]]",0.425,,,0.6000000000000001,0.3228354978354978
